id,type,name,state,total_flow,lat,lon,coordinate_status,geocode_priority,why_still_needs_work,geocode_query
NVUM-TX1,transplant_center,University Medical Center of Southern Nevada,Nevada,179,,,missing,2,blank_lat_lon,"University Medical Center of Southern Nevada, Nevada (transplant center hospital)"
NYFL-IO1,source_dsa,Finger Lakes Donor Recovery Network,New York,179,,,missing,2,blank_lat_lon,"Finger Lakes Donor Recovery Network, New York (organ procurement)"
NYFL-TX1,transplant_center,"Strong Memorial Hospital, University of Rochester Medical Center",New York,173,,,missing,2,blank_lat_lon,"Strong Memorial Hospital, University of Rochester Medical Center, New York (transplant center hospital)"
AZSJ-TX1,transplant_center,St. Joseph's Hospital and Medical Center,Arizona,144,,,missing,2,blank_lat_lon,"St. Joseph's Hospital and Medical Center, Arizona (transplant center hospital)"
PAAE-TX1,transplant_center,Albert Einstein Medical Center,Pennsylvania,133,,,missing,2,blank_lat_lon,"Albert Einstein Medical Center, Pennsylvania (transplant center hospital)"
NJLL-TX1,transplant_center,Virtua Our Lady of Lourdes Hospital,New Jersey,130,,,missing,2,blank_lat_lon,"Virtua Our Lady of Lourdes Hospital, New Jersey (transplant center hospital)"
TXAS-TX1,transplant_center,Baylor  Scott and White All Saints Medical Center-Fort Worth,Texas,114,,,missing,2,blank_lat_lon,"Baylor  Scott and White All Saints Medical Center-Fort Worth, Texas (transplant center hospital)"
MIBH-TX1,transplant_center,Corewell Health William Beaumont University Hospital,Michigan,109,,,missing,2,blank_lat_lon,"Corewell Health William Beaumont University Hospital, Michigan (transplant center hospital)"
ILVA-TX1,transplant_center,Edward Hines Jr. Veterans Administration Medical Center,Illinois,105,,,missing,2,blank_lat_lon,"Edward Hines Jr. Veterans Administration Medical Center, Illinois (transplant center hospital)"
IAIV-TX1,transplant_center,University of Iowa Hospitals and Clinics Transplant Programs,Iowa,103,,,missing,2,blank_lat_lon,"University of Iowa Hospitals and Clinics Transplant Programs, Iowa (transplant center hospital)"
MISH-TX1,transplant_center,Corewell Health Grand Rapids Hospitals,Michigan,103,,,missing,2,blank_lat_lon,"Corewell Health Grand Rapids Hospitals, Michigan (transplant center hospital)"
TXDR-TX1,transplant_center,Doctor's Hospital at Renaissance,Texas,90,,,missing,2,blank_lat_lon,"Doctor's Hospital at Renaissance, Texas (transplant center hospital)"
WASH-TX1,transplant_center,Providence Sacred Heart Medical Center & Children's Hospital,Washington,90,,,missing,2,blank_lat_lon,"Providence Sacred Heart Medical Center & Children's Hospital, Washington (transplant center hospital)"
TXSW-TX1,transplant_center,Scott and White Memorial Hospital,Texas,85,,,missing,2,blank_lat_lon,"Scott and White Memorial Hospital, Texas (transplant center hospital)"
ORGS-TX1,transplant_center,Legacy Good Samaritan Hospital and Medical Center,Oregon,74,,,missing,2,blank_lat_lon,"Legacy Good Samaritan Hospital and Medical Center, Oregon (transplant center hospital)"
MISM-TX1,transplant_center,Mercy Health Saint Mary's,Michigan,68,,,missing,2,blank_lat_lon,"Mercy Health Saint Mary's, Michigan (transplant center hospital)"
ORVA-TX1,transplant_center,VA Portland Health Care System,Oregon,65,,,missing,2,blank_lat_lon,"VA Portland Health Care System, Oregon (transplant center hospital)"
CAPC-TX1,transplant_center,Lucile Salter Packard Children's Hospital at Stanford,California,62,,,missing,2,blank_lat_lon,"Lucile Salter Packard Children's Hospital at Stanford, California (transplant center hospital)"
GAMC-TX1,transplant_center,"Wellstar MCG Health, affiliated with Medical College of Georgia",Georgia,59,,,missing,2,blank_lat_lon,"Wellstar MCG Health, affiliated with Medical College of Georgia, Georgia (transplant center hospital)"
