id,type,name,state,region,flow_total,current_lat,current_lon,coordinate_status,suggested_search,manual_city,manual_state,manual_lat,manual_lon,review_notes
TXHS-TX1,transplant_center,Methodist Specialty and Transplant Hospital,Texas,Region  4,321,29.5142,-98.5764,facility_or_city,"Methodist Specialty and Transplant Hospital, Texas, transplant center",,,,,
NYMA-TX1,transplant_center,Montefiore Medical Center,New York,Region  9,298,40.8801,-73.8798,facility_or_city,"Montefiore Medical Center, New York, transplant center",,,,,
ILLU-TX1,transplant_center,Loyola University Medical Center,Illinois,Region  7,295,41.8583,-87.8352,facility_or_city,"Loyola University Medical Center, Illinois, transplant center",,,,,
NJSB-TX1,transplant_center,Saint Barnabas Medical Center,New Jersey,Region  2,295,40.7635,-74.3048,facility_or_city,"Saint Barnabas Medical Center, New Jersey, transplant center",,,,,
TXBC-TX1,transplant_center,"University Hospital, University of Texas Health Science Center",Texas,Region  4,288,29.71642528,-95.40577695,manual,"University Hospital, University of Texas Health Science Center, Texas, transplant center",,,,,
OHUH-TX1,transplant_center,University Hospitals of Cleveland,Ohio,Region  11,265,41.5061,-81.6051,facility_or_city,"University Hospitals of Cleveland, Ohio, transplant center",,,,,
NMOP-OP1,source_dsa,New Mexico Donor Services,New Mexico,Region  5,259,35.10140647,-106.6290383,manual,"New Mexico Donor Services, New Mexico, organ procurement organization",,,,,
OHUC-TX1,transplant_center,University of Cincinnati  Medical Center,Ohio,Region  11,259,39.1377,-84.5031,facility_or_city,"University of Cincinnati  Medical Center, Ohio, transplant center",,,,,
CASM-TX1,transplant_center,University of California Davis Medical Center,California,Region  5,253,38.5527,-121.4518,facility_or_city,"University of California Davis Medical Center, California, transplant center",,,,,
NYNY-TX1,transplant_center,New York-Presbyterian Hospital/Weill Cornell Medical Center,New York,Region  9,251,40.76461216,-73.95415905,manual,"New York-Presbyterian Hospital/Weill Cornell Medical Center, New York, transplant center",,,,,
PAPT-TX1,transplant_center,University of Pittsburgh Medical Center,Pennsylvania,Region  2,248,40.44775906,79.94969228,manual,"University of Pittsburgh Medical Center, Pennsylvania, transplant center",,,,,
FLCC-TX1,transplant_center,Cleveland Clinic Florida Weston,Florida,Region  3,247,26.0825,-80.3678,facility_or_city,"Cleveland Clinic Florida Weston, Florida, transplant center",,,,,
ILUI-TX1,transplant_center,University of Illinois Medical Center,Illinois,Region  7,246,41.86895068,-87.67097915,manual,"University of Illinois Medical Center, Illinois, transplant center",,,,,
NJHK-TX1,transplant_center,Hackensack University Medical Center,New Jersey,Region  2,246,40.8837,-74.0559,facility_or_city,"Hackensack University Medical Center, New Jersey, transplant center",,,,,
NCMH-TX1,transplant_center,University of North Carolina Hospitals,North Carolina,Region  11,242,35.90516262,-79.05060405,manual,"University of North Carolina Hospitals, North Carolina, transplant center",,,,,
VAFH-TX1,transplant_center,Inova Fairfax Hospital,Virginia,Region  11,242,38.8574,-77.2285,facility_or_city,"Inova Fairfax Hospital, Virginia, transplant center",,,,,
KSUK-TX1,transplant_center,University of Kansas Hospital,Kansas,Region  8,238,39.0571,-94.6095,facility_or_city,"University of Kansas Hospital, Kansas, transplant center",,,,,
PATU-TX1,transplant_center,Temple University Hospital,Pennsylvania,Region  2,230,40.0053,-75.1508,facility_or_city,"Temple University Hospital, Pennsylvania, transplant center",,,,,
WISE-TX1,transplant_center,Froedtert Memorial Lutheran Hospital,Wisconsin,Region  7,226,43.0414,-88.0246,facility_or_city,"Froedtert Memorial Lutheran Hospital, Wisconsin, transplant center",,,,,
TXHD-TX1,transplant_center,Medical City Dallas Hospital,Texas,Region  4,218,32.9121,-96.7739,facility_or_city,"Medical City Dallas Hospital, Texas, transplant center",,,,,
WASM-TX1,transplant_center,Swedish Medical Center,Washington,Region  6,216,47.6087,-122.3227,facility_or_city,"Swedish Medical Center, Washington, transplant center",,,,,
