id,type,name,state,region,flow_total,current_lat,current_lon,coordinate_status,suggested_search,manual_city,manual_state,manual_lat,manual_lon,review_notes
UTPC-TX1,transplant_center,Primary Children's Hospital,Utah,Region  5,38,40.7713,-111.8389,facility_or_city,"Primary Children's Hospital, Utah, transplant center",,,,,
PACP-TX1,transplant_center,Children's Hospital of Philadelphia,Pennsylvania,Region  2,37,39.9477,-75.195,facility_or_city,"Children's Hospital of Philadelphia, Pennsylvania, transplant center",,,,,
IAIM-TX1,transplant_center,Iowa Methodist Medical Center,Iowa,Region  8,36,41.5898,-93.6348,facility_or_city,"Iowa Methodist Medical Center, Iowa, transplant center",,,,,
NYDS-TX1,transplant_center,"State University of New York, Downstate Medical Center",New York,Region  9,36,,,missing,"State University of New York, Downstate Medical Center, New York, transplant center",,,,,
DCWH-TX1,transplant_center,Washington Hospital Center,District of Columbia,Region  2,35,38.9287,-77.0148,facility_or_city,"Washington Hospital Center, District of Columbia, transplant center",,,,,
OHCH-TX1,transplant_center,Nationwide Children's Hospital,Ohio,Region  11,34,39.9521,-82.979,facility_or_city,"Nationwide Children's Hospital, Ohio, transplant center",,,,,
OKSJ-TX1,transplant_center,St John Medical Center,Oklahoma,Region  4,34,36.134,-95.9689,facility_or_city,"St John Medical Center, Oklahoma, transplant center",,,,,
TXPM-TX1,transplant_center,Parkland Health and Hospital System,Texas,Region  4,33,,,missing,"Parkland Health and Hospital System, Texas, transplant center",,,,,
NDSL-TX1,transplant_center,Sanford Medical Center Fargo,North Dakota,Region  7,31,46.8455,-96.8768,facility_or_city,"Sanford Medical Center Fargo, North Dakota, transplant center",,,,,
COCH-TX1,transplant_center,Children's Hospital Colorado,Colorado,Region  8,30,39.7452,-104.9678,facility_or_city,"Children's Hospital Colorado, Colorado, transplant center",,,,,
NYAM-TX1,transplant_center,Albany Medical Center Hospital,New York,Region  9,30,42.6533,-73.7772,facility_or_city,"Albany Medical Center Hospital, New York, transplant center",,,,,
RIRH-TX1,transplant_center,Rhode Island Hospital,Rhode Island,Region  1,30,41.8111,-71.409,facility_or_city,"Rhode Island Hospital, Rhode Island, transplant center",,,,,
MABS-TX1,transplant_center,Baystate Medical Center,Massachusetts,Region  1,28,42.1215,-72.603,facility_or_city,"Baystate Medical Center, Massachusetts, transplant center",,,,,
NMPH-TX1,transplant_center,Presbyterian Hospital,New Mexico,Region  5,28,35.0809,-106.6341,facility_or_city,"Presbyterian Hospital, New Mexico, transplant center",,,,,
FLSH-TX1,transplant_center,Ascension Sacred Heart Pensacola,Florida,Region  3,27,30.4771,-87.2123,facility_or_city,"Ascension Sacred Heart Pensacola, Florida, transplant center",,,,,
MISJ-TX1,transplant_center,Ascension St. John Hospital,Michigan,Region  10,26,42.6705,-82.945,facility_or_city,"Ascension St. John Hospital, Michigan, transplant center",,,,,
MNAN-TX1,transplant_center,Abbott Northwestern Hospital,Minnesota,Region  7,26,44.9537,-93.2613,facility_or_city,"Abbott Northwestern Hospital, Minnesota, transplant center",,,,,
TNEM-TX1,transplant_center,Erlanger Medical Center,Tennessee,Region  11,26,,,missing,"Erlanger Medical Center, Tennessee, transplant center",,,,,
AZCH-TX1,transplant_center,Phoenix Children's Hospital,Arizona,Region  5,25,33.4789,-112.0411,facility_or_city,"Phoenix Children's Hospital, Arizona, transplant center",,,,,
NMAQ-TX1,transplant_center,"University Hospital, University of New Mexico Health Sciences Center",New Mexico,Region  5,25,,,missing,"University Hospital, University of New Mexico Health Sciences Center, New Mexico, transplant center",,,,,
ALCH-TX1,transplant_center,Children's of Alabama,Alabama,Region  3,24,33.5047,-86.8056,facility_or_city,"Children's of Alabama, Alabama, transplant center",,,,,
VAHD-TX1,transplant_center,Henrico Doctors' Hospital,Virginia,Region  11,23,37.6033,-77.5415,facility_or_city,"Henrico Doctors' Hospital, Virginia, transplant center",,,,,
MABU-TX1,transplant_center,Boston Medical Center,Massachusetts,Region  1,21,42.3342,-71.0746,facility_or_city,"Boston Medical Center, Massachusetts, transplant center",,,,,
MEMC-TX1,transplant_center,Maine Medical Center,Maine,Region  1,20,43.6532,-70.2763,facility_or_city,"Maine Medical Center, Maine, transplant center",,,,,
MOCM-TX1,transplant_center,Children's Mercy Hospital,Missouri,Region  8,20,39.0844,-94.5775,facility_or_city,"Children's Mercy Hospital, Missouri, transplant center",,,,,
CAMB-TX1,transplant_center,UCSF Medical Center at Mission Bay,California,Region  5,19,37.7659,-122.3908,facility_or_city,"UCSF Medical Center at Mission Bay, California, transplant center",,,,,
DCWR-TX1,transplant_center,Walter Reed National Military Medical Center at Bethesda,District of Columbia,Region  2,19,,,missing,"Walter Reed National Military Medical Center at Bethesda, District of Columbia, transplant center",,,,,
ILMM-TX1,transplant_center,Springfield Memorial Hospital,Illinois,Region  7,19,42.1222,-72.6047,facility_or_city,"Springfield Memorial Hospital, Illinois, transplant center",,,,,
SDMK-TX1,transplant_center,Avera McKennan Hospital,South Dakota,Region  7,19,43.5343,-96.7138,facility_or_city,"Avera McKennan Hospital, South Dakota, transplant center",,,,,
SDSV-TX1,transplant_center,Sanford Health/USD Medical Center,South Dakota,Region  7,19,,,missing,"Sanford Health/USD Medical Center, South Dakota, transplant center",,,,,
WVWU-TX1,transplant_center,West Virginia University Hospitals Inc.,West Virginia,Region  2,19,,,missing,"West Virginia University Hospitals Inc., West Virginia, transplant center",,,,,
CACH-TX1,transplant_center,Rady Children's Hospital and Health Center,California,Region  5,17,,,missing,"Rady Children's Hospital and Health Center, California, transplant center",,,,,
WICH-TX1,transplant_center,Children's Hospital of Wisconsin,Wisconsin,Region  7,17,43.0422,-88.0235,facility_or_city,"Children's Hospital of Wisconsin, Wisconsin, transplant center",,,,,
TNLB-TX1,transplant_center,Le Bonheur Children's Medical Center,Tennessee,Region  11,16,,,missing,"Le Bonheur Children's Medical Center, Tennessee, transplant center",,,,,
TXDM-TX1,transplant_center,North Austin Medical Center,Texas,Region  4,16,,,missing,"North Austin Medical Center, Texas, transplant center",,,,,
NHDH-TX1,transplant_center,Mary Hitchcock Memorial Hospital,New Hampshire,Region  1,14,,,missing,"Mary Hitchcock Memorial Hospital, New Hampshire, transplant center",,,,,
NYVA-TX1,transplant_center,James J. Peters VA Medical Center,New York,Region  9,14,,,missing,"James J. Peters VA Medical Center, New York, transplant center",,,,,
TXUC-TX1,transplant_center,University Children's Health,Texas,Region  4,14,,,missing,"University Children's Health, Texas, transplant center",,,,,
CASG-TX1,transplant_center,Sutter Medical Center Sacramento,California,Region  5,13,38.5715,-121.4687,facility_or_city,"Sutter Medical Center Sacramento, California, transplant center",,,,,
MICH-TX1,transplant_center,Children's Hospital of Michigan,Michigan,Region  10,13,42.3519,-83.0548,facility_or_city,"Children's Hospital of Michigan, Michigan, transplant center",,,,,
ORSV-TX1,transplant_center,Providence St. Vincent Medical Center,Oregon,Region  6,13,45.5109,-122.7741,facility_or_city,"Providence St. Vincent Medical Center, Oregon, transplant center",,,,,
PAHE-TX1,transplant_center,Penn State Milton S Hershey Medical Center,Pennsylvania,Region  2,13,40.2654,-76.6732,facility_or_city,"Penn State Milton S Hershey Medical Center, Pennsylvania, transplant center",,,,,
SCCH-TX1,transplant_center,MUSC Children's Hospital,South Carolina,Region  11,13,,,missing,"MUSC Children's Hospital, South Carolina, transplant center",,,,,
MOUM-TX1,transplant_center,University of Missouri Hospital and Clinics,Missouri,Region  8,12,,,missing,"University of Missouri Hospital and Clinics, Missouri, transplant center",,,,,
DCCH-TX1,transplant_center,Children's National Medical Center,District of Columbia,Region  2,11,,,missing,"Children's National Medical Center, District of Columbia, transplant center",,,,,
LACH-TX1,transplant_center,Children's Hospital,Louisiana,Region  3,11,30.0064,-90.1926,facility_or_city,"Children's Hospital, Louisiana, transplant center",,,,,
NYCC-TX1,transplant_center,Long Island Jewish Medical Center-Cohen Children's Medical Center,New York,Region  9,11,,,missing,"Long Island Jewish Medical Center-Cohen Children's Medical Center, New York, transplant center",,,,,
KYKC-TX1,transplant_center,Norton Children's Hospital,Kentucky,Region  11,10,38.2484,-85.7497,facility_or_city,"Norton Children's Hospital, Kentucky, transplant center",,,,,
TXDL-TX1,transplant_center,Dell Children's Medical Center,Texas,Region  4,10,,,missing,"Dell Children's Medical Center, Texas, transplant center",,,,,
ARBH-TX1,transplant_center,Baptist Medical Center,Arkansas,Region  3,9,35.4887,-92.0578,facility_or_city,"Baptist Medical Center, Arkansas, transplant center",,,,,
TNBM-TX1,transplant_center,Baptist Memorial Hospital,Tennessee,Region  11,9,36.023,-88.4124,facility_or_city,"Baptist Memorial Hospital, Tennessee, transplant center",,,,,
TXLM-TX1,transplant_center,Covenant Medical Center,Texas,Region  4,9,33.5769,-101.8921,facility_or_city,"Covenant Medical Center, Texas, transplant center",,,,,
DEAI-TX1,transplant_center,Nemours Children's Hospital Delaware,Delaware,Region  2,8,,,missing,"Nemours Children's Hospital Delaware, Delaware, transplant center",,,,,
FLHM-TX1,transplant_center,Halifax Health,Florida,Region  3,8,29.2549,-81.1199,facility_or_city,"Halifax Health, Florida, transplant center",,,,,
MOCG-TX1,transplant_center,Cardinal Glennon Children's Hospital,Missouri,Region  8,8,38.6258,-90.2385,facility_or_city,"Cardinal Glennon Children's Hospital, Missouri, transplant center",,,,,
NDMC-TX1,transplant_center,Sanford Bismarck Medical Center,North Dakota,Region  7,8,,,missing,"Sanford Bismarck Medical Center, North Dakota, transplant center",,,,,
FLJD-TX1,transplant_center,Memorial Regional Hospital/Joe DiMaggio Children's Hospital,Florida,Region  3,7,,,missing,"Memorial Regional Hospital/Joe DiMaggio Children's Hospital, Florida, transplant center",,,,,
TXCT-TX1,transplant_center,Seton Medical Center Austin,Texas,Region  4,7,30.3051,-97.7461,facility_or_city,"Seton Medical Center Austin, Texas, transplant center",,,,,
TXDS-TX1,transplant_center,Dell Seton Medical Center at The University of Texas at Austin,Texas,Region  4,7,,,missing,"Dell Seton Medical Center at The University of Texas at Austin, Texas, transplant center",,,,,
ARCH-TX1,transplant_center,Arkansas Children's Hospital,Arkansas,Region  3,6,34.7408,-92.2916,facility_or_city,"Arkansas Children's Hospital, Arkansas, transplant center",,,,,
PAPH-TX1,transplant_center,UPMC Hamot,Pennsylvania,Region  2,6,42.1338,-80.0873,facility_or_city,"UPMC Hamot, Pennsylvania, transplant center",,,,,
TXCF-TX1,transplant_center,Cook Children's Medical Center,Texas,Region  4,6,32.7366,-97.3411,facility_or_city,"Cook Children's Medical Center, Texas, transplant center",,,,,
TXDC-TX1,transplant_center,Driscoll Children's Hospital,Texas,Region  4,6,27.7487,-97.3865,facility_or_city,"Driscoll Children's Hospital, Texas, transplant center",,,,,
IAVA-TX1,transplant_center,The Iowa City VA Health Care System,Iowa,Region  8,5,,,missing,"The Iowa City VA Health Care System, Iowa, transplant center",,,,,
MIDV-TX1,transplant_center,Corewell Health Helen DeVos Children's Hospital,Michigan,Region  10,3,,,missing,"Corewell Health Helen DeVos Children's Hospital, Michigan, transplant center",,,,,
NECH-TX1,transplant_center,Children’s Nebraska,Nebraska,Region  8,3,41.2608,-96.0418,facility_or_city,"Children’s Nebraska, Nebraska, transplant center",,,,,
ALVA-TX1,transplant_center,,,,2,39.7837,-100.4459,facility_or_city,", , transplant center",,,,,
FLAC-TX1,transplant_center,Johns Hopkins All Children's Hospital,Florida,Region  3,2,27.7629,-82.6398,facility_or_city,"Johns Hopkins All Children's Hospital, Florida, transplant center",,,,,
OKCM-TX1,transplant_center,Children's Hospital of Oklahoma,Oklahoma,Region  4,2,,,missing,"Children's Hospital of Oklahoma, Oklahoma, transplant center",,,,,
PRCC-TX1,transplant_center,Cardiovascular Center of Puerto Rico and the Caribbean,Puerto Rico,Region  3,2,,,missing,"Cardiovascular Center of Puerto Rico and the Caribbean, Puerto Rico, transplant center",,,,,
MNCM-TX1,transplant_center,Children's Minnesota,Minnesota,Region  7,1,44.9578,-93.2732,facility_or_city,"Children's Minnesota, Minnesota, transplant center",,,,,
PASC-TX1,transplant_center,St. Christopher's Hospital for Children,Pennsylvania,Region  2,1,40.0063,-75.1256,facility_or_city,"St. Christopher's Hospital for Children, Pennsylvania, transplant center",,,,,
VACH-TX1,transplant_center,Children's Hospital of the King's Daughters,Virginia,Region  11,1,36.8622,-76.302,facility_or_city,"Children's Hospital of the King's Daughters, Virginia, transplant center",,,,,
