organ,to_date,year,transplants
Kidney-Intestine,56,2025,3
Kidney-Intestine,56,2026,1
Kidney-Intestine-Pancreas,8,1988,0
Kidney-Intestine-Pancreas,8,1989,0
Kidney-Intestine-Pancreas,8,1990,0
Kidney-Intestine-Pancreas,8,1991,0
Kidney-Intestine-Pancreas,8,1992,0
Kidney-Intestine-Pancreas,8,1993,0
Kidney-Intestine-Pancreas,8,1994,0
Kidney-Intestine-Pancreas,8,1995,0
Kidney-Intestine-Pancreas,8,1996,0
Kidney-Intestine-Pancreas,8,1997,0
Kidney-Intestine-Pancreas,8,1998,0
Kidney-Intestine-Pancreas,8,1999,1
Kidney-Intestine-Pancreas,8,2000,0
Kidney-Intestine-Pancreas,8,2001,0
Kidney-Intestine-Pancreas,8,2002,1
Kidney-Intestine-Pancreas,8,2003,1
Kidney-Intestine-Pancreas,8,2004,0
Kidney-Intestine-Pancreas,8,2005,0
Kidney-Intestine-Pancreas,8,2006,1
Kidney-Intestine-Pancreas,8,2007,0
Kidney-Intestine-Pancreas,8,2008,2
Kidney-Intestine-Pancreas,8,2009,1
Kidney-Intestine-Pancreas,8,2010,0
Kidney-Intestine-Pancreas,8,2011,0
Kidney-Intestine-Pancreas,8,2012,0
Kidney-Intestine-Pancreas,8,2013,0
Kidney-Intestine-Pancreas,8,2014,0
Kidney-Intestine-Pancreas,8,2015,0
Kidney-Intestine-Pancreas,8,2016,0
Kidney-Intestine-Pancreas,8,2017,0
Kidney-Intestine-Pancreas,8,2018,0
Kidney-Intestine-Pancreas,8,2019,0
Kidney-Intestine-Pancreas,8,2020,1
Kidney-Intestine-Pancreas,8,2021,0
Kidney-Intestine-Pancreas,8,2022,0
Kidney-Intestine-Pancreas,8,2023,0
Kidney-Intestine-Pancreas,8,2024,0
Kidney-Intestine-Pancreas,8,2025,0
Kidney-Intestine-Pancreas,8,2026,0
Kidney-Lung,175,1988,0
Kidney-Lung,175,1989,0
Kidney-Lung,175,1990,0
Kidney-Lung,175,1991,0
Kidney-Lung,175,1992,0
Kidney-Lung,175,1993,0
Kidney-Lung,175,1994,0
Kidney-Lung,175,1995,1
Kidney-Lung,175,1996,1
Kidney-Lung,175,1997,1
Kidney-Lung,175,1998,1
Kidney-Lung,175,1999,0
Kidney-Lung,175,2000,0
Kidney-Lung,175,2001,0
Kidney-Lung,175,2002,0
Kidney-Lung,175,2003,1
Kidney-Lung,175,2004,1
Kidney-Lung,175,2005,1
Kidney-Lung,175,2006,1
Kidney-Lung,175,2007,2
Kidney-Lung,175,2008,2
Kidney-Lung,175,2009,3
Kidney-Lung,175,2010,1
Kidney-Lung,175,2011,4
Kidney-Lung,175,2012,4
Kidney-Lung,175,2013,7
Kidney-Lung,175,2014,5
Kidney-Lung,175,2015,1
Kidney-Lung,175,2016,4
Kidney-Lung,175,2017,7
Kidney-Lung,175,2018,9
Kidney-Lung,175,2019,13
Kidney-Lung,175,2020,11
Kidney-Lung,175,2021,15
Kidney-Lung,175,2022,22
Kidney-Lung,175,2023,21
Kidney-Lung,175,2024,15
Kidney-Lung,175,2025,16
Kidney-Lung,175,2026,5
Kidney-Pancreas-Heart,9,1988,0
Kidney-Pancreas-Heart,9,1989,0
Kidney-Pancreas-Heart,9,1990,0
Kidney-Pancreas-Heart,9,1991,0
Kidney-Pancreas-Heart,9,1992,1
Kidney-Pancreas-Heart,9,1993,1
Kidney-Pancreas-Heart,9,1994,0
Kidney-Pancreas-Heart,9,1995,2
Kidney-Pancreas-Heart,9,1996,0
Kidney-Pancreas-Heart,9,1997,1
Kidney-Pancreas-Heart,9,1998,1
Kidney-Pancreas-Heart,9,1999,0
Kidney-Pancreas-Heart,9,2000,0
Kidney-Pancreas-Heart,9,2001,0
Kidney-Pancreas-Heart,9,2002,1
Kidney-Pancreas-Heart,9,2003,0
Kidney-Pancreas-Heart,9,2004,0
Kidney-Pancreas-Heart,9,2005,0
Kidney-Pancreas-Heart,9,2006,1
Kidney-Pancreas-Heart,9,2007,0
Kidney-Pancreas-Heart,9,2008,1
Kidney-Pancreas-Heart,9,2009,0
Kidney-Pancreas-Heart,9,2010,0
Kidney-Pancreas-Heart,9,2011,0
Kidney-Pancreas-Heart,9,2012,0
Kidney-Pancreas-Heart,9,2013,0
Kidney-Pancreas-Heart,9,2014,0
Kidney-Pancreas-Heart,9,2015,0
Kidney-Pancreas-Heart,9,2016,0
Kidney-Pancreas-Heart,9,2017,0
Kidney-Pancreas-Heart,9,2018,0
Kidney-Pancreas-Heart,9,2019,0
Kidney-Pancreas-Heart,9,2020,0
Kidney-Pancreas-Heart,9,2021,0
Kidney-Pancreas-Heart,9,2022,0
Kidney-Pancreas-Heart,9,2023,0
Kidney-Pancreas-Heart,9,2024,0
Kidney-Pancreas-Heart,9,2025,0
