id,type,name,state,region,total_inflow,total_outflow,total_flow,edge_count,lat,lon,coordinate_status,geocode_priority,geocode_query,notes
TNDS-OP1,source_dsa,Tennessee Donor Services,Tennessee,Region  11,0,1212,1212,131,36.1627,-86.7816,manual_verified,9,"Tennessee Donor Services, Tennessee (organ procurement)",manual_map;city_approx:Nashville;high
CADN-OP1,source_dsa,Donor Network West,California,Region  5,0,1145,1145,79,37.7799,-121.9780,manual_verified,9,"Donor Network West, California (organ procurement)",manual_map;city_approx:San Ramon;medium
AZOB-OP1,source_dsa,Donor Network of Arizona,Arizona,Region  5,0,1121,1121,89,33.4484,-112.0740,manual_verified,9,"Donor Network of Arizona, Arizona (organ procurement)",manual_map;city_approx:Phoenix;high
MIOP-OP1,source_dsa,Gift of Life Michigan,Michigan,Region  10,0,1077,1077,125,43.3266,-84.5361,manual_verified,9,"Gift of Life Michigan, Michigan (organ procurement)",manual_map;high
MWOB-OP1,source_dsa,Midwest Transplant Network,Missouri,Region  8,0,980,980,123,38.4561,-92.2884,manual_verified,9,"Midwest Transplant Network, Missouri (organ procurement)",manual_map;high
CORS-OP1,source_dsa,Donor Alliance,Colorado,Region  8,0,937,937,108,39.7392,-104.9903,manual_verified,9,"Donor Alliance, Colorado (organ procurement)",manual_map;city_approx:Denver;high
FLWC-OP1,source_dsa,LifeLink of Florida,Florida,Region  3,0,909,909,80,27.7663,-81.6868,manual_verified,9,"LifeLink of Florida, Florida (organ procurement)",manual_map;high
LAOP-OP1,source_dsa,Louisiana Organ Procurement Agency,Louisiana,Region  3,0,894,894,92,31.1695,-91.8678,manual_verified,9,"Louisiana Organ Procurement Agency, Louisiana (organ procurement)",manual_map;high
MNOP-OP1,source_dsa,LifeSource Upper Midwest Organ Procurement Organization,South Dakota,Region  7,0,885,885,113,44.9750,-93.2250,manual_verified,9,"LifeSource Upper Midwest Organ Procurement Organization, South Dakota (organ procurement)",manual_map;city_approx:Minneapolis;medium
NCNC-OP1,source_dsa,HonorBridge,North Carolina,Region  11,0,822,822,102,35.6301,-79.8064,manual_verified,9,"HonorBridge, North Carolina (organ procurement)",manual_map;high
MOMA-OP1,source_dsa,Mid-America Transplant Services,Missouri,Region  8,0,719,719,96,38.4561,-92.2884,manual_verified,9,"Mid-America Transplant Services, Missouri (organ procurement)",manual_map;high
SCOP-OP1,source_dsa,We Are Sharing Hope SC,South Carolina,Region  11,0,713,713,93,33.8569,-80.9450,manual_verified,9,"We Are Sharing Hope SC, South Carolina (organ procurement)",manual_map;high
TXSA-OP1,source_dsa,Texas Organ Sharing Alliance,Texas,Region  4,0,701,701,94,31.0545,-97.5635,manual_verified,9,"Texas Organ Sharing Alliance, Texas (organ procurement)",manual_map;high
FLMP-OP1,source_dsa,South Florida Donor Network,Florida,Region  3,0,635,635,62,27.7663,-81.6868,manual_verified,9,"South Florida Donor Network, Florida (organ procurement)",manual_map;high
ALOB-OP1,source_dsa,Legacy of Hope,Alabama,Region  3,0,585,585,85,32.8067,-86.7911,manual_verified,9,"Legacy of Hope, Alabama (organ procurement)",manual_map;high
UTOP-OP1,source_dsa,DonorConnect,Utah,Region  5,0,585,585,79,40.7608,-111.8910,manual_verified,9,"DonorConnect, Utah (organ procurement)",manual_map;city_approx:Salt Lake City;high
OHLB-OP1,source_dsa,Lifebanc,Ohio,Region  11,0,570,570,89,40.3888,-82.7649,manual_verified,9,"Lifebanc, Ohio (organ procurement)",manual_map;high
NEOR-OP1,source_dsa,Live On Nebraska,Nebraska,Region  8,0,327,327,71,41.1254,-98.2681,manual_verified,9,"Live On Nebraska, Nebraska (organ procurement)",manual_map;high
HIOP-OP1,source_dsa,Legacy of Life Hawaii,Hawaii,Region  6,0,166,166,30,21.0943,-157.4983,manual_verified,9,"Legacy of Life Hawaii, Hawaii (organ procurement)",manual_map;high
