id,type,name,state,region,lat,lon,notes
TXHI-TX1,transplant_center,CHI St. Luke's Health Baylor College of Medicine Medical Center,Texas,Region  4,31.0545,-97.5635,
NYNS-TX1,transplant_center,North Shore University Hospital/Northwell Health,New York,Region  9,,,
NEUN-TX1,transplant_center,The Nebraska Medical Center,Nebraska,Region  8,41.1254,-98.2681,
FLFH-TX1,transplant_center,AdventHealth Orlando,Florida,Region  3,,,
NYAP-OP1,source_dsa,Center for Donation and Transplant,New York,Region  9,,,
ILUC-TX1,transplant_center,University of Chicago Medical Center,Illinois,Region  7,40.3495,-88.9861,
IAOP-OP1,source_dsa,Iowa Donor Network,Iowa,Region  8,,,
NCCM-TX1,transplant_center,Carolinas Medical Center,North Carolina,Region  11,,,
VAUV-TX1,transplant_center,University of Virginia Health Sciences Center,Virginia,Region  11,,,
LAOF-TX1,transplant_center,Ochsner Foundation Hospital,Louisiana,Region  3,31.1695,-91.8678,
NEOR-OP1,source_dsa,Live On Nebraska,Nebraska,Region  8,41.1254,-98.2681,
MIHF-TX1,transplant_center,Henry Ford Hospital,Michigan,Region  10,43.3266,-84.5361,
CALL-TX1,transplant_center,Loma Linda University Medical Center,California,Region  5,36.1162,-119.6816,
CAUH-TX1,transplant_center,Keck Hospital of USC,California,Region  5,36.1162,-119.6816,
TXHS-TX1,transplant_center,Methodist Specialty and Transplant Hospital,Texas,Region  4,31.0545,-97.5635,
WIDN-OP1,source_dsa,"Versiti Blood Health, Inc.",Wisconsin,Region  7,,,
MSOP-OP1,source_dsa,Mississippi Organ Recovery Agency,Mississippi,Region  3,,,
CAPM-TX1,transplant_center,California Pacific Medical Center-Van Ness Campus,California,Region  5,36.1162,-119.6816,
NYMA-TX1,transplant_center,Montefiore Medical Center,New York,Region  9,,,
ILLU-TX1,transplant_center,Loyola University Medical Center,Illinois,Region  7,,,
NJSB-TX1,transplant_center,Saint Barnabas Medical Center,New Jersey,Region  2,,,
TXBC-TX1,transplant_center,"University Hospital, University of Texas Health Science Center",Texas,Region  4,,,
OHUH-TX1,transplant_center,University Hospitals of Cleveland,Ohio,Region  11,,,
NMOP-OP1,source_dsa,New Mexico Donor Services,New Mexico,Region  5,,,
OHUC-TX1,transplant_center,University of Cincinnati  Medical Center,Ohio,Region  11,,,
UTMC-TX1,transplant_center,University of Utah Medical Center,Utah,Region  5,40.15,-111.8624,
CASM-TX1,transplant_center,University of California Davis Medical Center,California,Region  5,36.1162,-119.6816,
NYNY-TX1,transplant_center,New York-Presbyterian Hospital/Weill Cornell Medical Center,New York,Region  9,,,
PAPT-TX1,transplant_center,University of Pittsburgh Medical Center,Pennsylvania,Region  2,,,
FLCC-TX1,transplant_center,Cleveland Clinic Florida Weston,Florida,Region  3,,,
ILUI-TX1,transplant_center,University of Illinois Medical Center,Illinois,Region  7,,,
NJHK-TX1,transplant_center,Hackensack University Medical Center,New Jersey,Region  2,,,
NCMH-TX1,transplant_center,University of North Carolina Hospitals,North Carolina,Region  11,,,
VAFH-TX1,transplant_center,Inova Fairfax Hospital,Virginia,Region  11,,,
TNMS-OP1,source_dsa,Mid-South Transplant Foundation,Tennessee,Region  11,,,
KSUK-TX1,transplant_center,University of Kansas Hospital,Kansas,Region  8,38.5266,-96.7265,
PATU-TX1,transplant_center,Temple University Hospital,Pennsylvania,Region  2,,,
PRLL-OP1,source_dsa,LifeLink of Puerto Rico,Puerto Rico,Region  3,,,
WISE-TX1,transplant_center,Froedtert Memorial Lutheran Hospital,Wisconsin,Region  7,,,
TXHD-TX1,transplant_center,Medical City Dallas Hospital,Texas,Region  4,,,
WASM-TX1,transplant_center,Swedish Medical Center,Washington,Region  6,47.4009,-121.4905,
ORUO-TX1,transplant_center,Oregon Health and Science University,Oregon,Region  6,44.572,-122.0709,
MDUM-TX1,transplant_center,University of Maryland Medical System,Maryland,Region  2,,,
CAIM-TX1,transplant_center,University of California Irvine Medical Center,California,Region  5,36.1162,-119.6816,
MABI-TX1,transplant_center,Beth Israel Deaconess Medical Center,Massachusetts,Region  1,,,
TNMH-TX1,transplant_center,Methodist University Hospital,Tennessee,Region  11,,,
TXMC-TX1,transplant_center,Methodist Dallas Medical Center,Texas,Region  4,,,
OKBC-TX1,transplant_center,Integris Baptist Medical Center,Oklahoma,Region  4,,,
ARUA-TX1,transplant_center,UAMS Medical Center,Arkansas,Region  3,,,
NYWN-OP1,source_dsa,Upstate New York Transplant Services Inc,New York,Region  9,,,
KYUK-TX1,transplant_center,University of Kentucky Medical Center,Kentucky,Region  11,,,
OHCO-TX1,transplant_center,University of Toledo Medical Center,Ohio,Region  11,,,
TNST-TX1,transplant_center,Saint Thomas Hospital,Tennessee,Region  11,,,
PATJ-TX1,transplant_center,Thomas Jefferson University Hospital,Pennsylvania,Region  2,,,
NCBG-TX1,transplant_center,Wake Forest Baptist Medical Center,North Carolina,Region  11,,,
NVUM-TX1,transplant_center,University Medical Center of Southern Nevada,Nevada,Region  5,,,
NYFL-IO1,source_dsa,Finger Lakes Donor Recovery Network,New York,Region  9,,,
LATU-TX1,transplant_center,Tulane Medical Center,Louisiana,Region  3,,,
NYFL-TX1,transplant_center,"Strong Memorial Hospital, University of Rochester Medical Center",New York,Region  9,,,
FLMR-TX1,transplant_center,Memorial Regional Hospital,Florida,Region  3,,,
NYWC-TX1,transplant_center,Westchester Medical Center,New York,Region  9,,,
MSUM-TX1,transplant_center,University of Mississippi Medical Center,Mississippi,Region  3,,,
HIOP-OP1,source_dsa,Legacy of Life Hawaii,Hawaii,Region  6,21.0943,-157.4983,
AZGS-TX1,transplant_center,Banner-University Medical Center Phoenix,Arizona,Region  5,,,
ILPL-TX1,transplant_center,Rush University Medical Center,Illinois,Region  7,,,
MANM-TX1,transplant_center,Tufts Medical Center,Massachusetts,Region  1,,,
PAAG-TX1,transplant_center,Allegheny General Hospital,Pennsylvania,Region  2,,,
MAUM-TX1,transplant_center,UMass Memorial Medical Center,Massachusetts,Region  1,,,
MALC-TX1,transplant_center,Lahey Clinic Medical Center,Massachusetts,Region  1,,,
AZSJ-TX1,transplant_center,St. Joseph's Hospital and Medical Center,Arizona,Region  5,,,
CTYN-TX1,transplant_center,Yale New Haven Hospital,Connecticut,Region  1,,,
MAPB-TX1,transplant_center,Brigham and Women's Hospital,Massachusetts,Region  1,,,
PAAE-TX1,transplant_center,Albert Einstein Medical Center,Pennsylvania,Region  2,,,
PALV-TX1,transplant_center,Lehigh Valley Hospital,Pennsylvania,Region  2,,,
