id,type,name,state,lat,lon,coordinate_quality,notes
TXHI-TX1,transplant_center,CHI St. Luke's Health Baylor College of Medicine Medical Center,Texas,31.0545,-97.5635,state_centroid,
NYNS-TX1,transplant_center,North Shore University Hospital/Northwell Health,New York,,,missing,
NEUN-TX1,transplant_center,The Nebraska Medical Center,Nebraska,41.1254,-98.2681,state_centroid,
FLFH-TX1,transplant_center,AdventHealth Orlando,Florida,,,missing,
NYAP-OP1,source_dsa,Center for Donation and Transplant,New York,,,missing,
ILUC-TX1,transplant_center,University of Chicago Medical Center,Illinois,40.3495,-88.9861,state_centroid,
IAOP-OP1,source_dsa,Iowa Donor Network,Iowa,,,missing,
NCCM-TX1,transplant_center,Carolinas Medical Center,North Carolina,,,missing,
VAUV-TX1,transplant_center,University of Virginia Health Sciences Center,Virginia,,,missing,
LAOF-TX1,transplant_center,Ochsner Foundation Hospital,Louisiana,31.1695,-91.8678,state_centroid,
NEOR-OP1,source_dsa,Live On Nebraska,Nebraska,41.1254,-98.2681,state_centroid,
MIHF-TX1,transplant_center,Henry Ford Hospital,Michigan,43.3266,-84.5361,state_centroid,
CALL-TX1,transplant_center,Loma Linda University Medical Center,California,36.1162,-119.6816,state_centroid,
CAUH-TX1,transplant_center,Keck Hospital of USC,California,36.1162,-119.6816,state_centroid,
TXHS-TX1,transplant_center,Methodist Specialty and Transplant Hospital,Texas,31.0545,-97.5635,state_centroid,
WIDN-OP1,source_dsa,"Versiti Blood Health, Inc.",Wisconsin,,,missing,
MSOP-OP1,source_dsa,Mississippi Organ Recovery Agency,Mississippi,,,missing,
CAPM-TX1,transplant_center,California Pacific Medical Center-Van Ness Campus,California,36.1162,-119.6816,state_centroid,
NYMA-TX1,transplant_center,Montefiore Medical Center,New York,,,missing,
ILLU-TX1,transplant_center,Loyola University Medical Center,Illinois,,,missing,
NJSB-TX1,transplant_center,Saint Barnabas Medical Center,New Jersey,,,missing,
TXBC-TX1,transplant_center,"University Hospital, University of Texas Health Science Center",Texas,,,missing,
OHUH-TX1,transplant_center,University Hospitals of Cleveland,Ohio,,,missing,
NMOP-OP1,source_dsa,New Mexico Donor Services,New Mexico,,,missing,
OHUC-TX1,transplant_center,University of Cincinnati  Medical Center,Ohio,,,missing,
UTMC-TX1,transplant_center,University of Utah Medical Center,Utah,40.15,-111.8624,state_centroid,
CASM-TX1,transplant_center,University of California Davis Medical Center,California,36.1162,-119.6816,state_centroid,
NYNY-TX1,transplant_center,New York-Presbyterian Hospital/Weill Cornell Medical Center,New York,,,missing,
PAPT-TX1,transplant_center,University of Pittsburgh Medical Center,Pennsylvania,,,missing,
FLCC-TX1,transplant_center,Cleveland Clinic Florida Weston,Florida,,,missing,
ILUI-TX1,transplant_center,University of Illinois Medical Center,Illinois,,,missing,
NJHK-TX1,transplant_center,Hackensack University Medical Center,New Jersey,,,missing,
NCMH-TX1,transplant_center,University of North Carolina Hospitals,North Carolina,,,missing,
VAFH-TX1,transplant_center,Inova Fairfax Hospital,Virginia,,,missing,
TNMS-OP1,source_dsa,Mid-South Transplant Foundation,Tennessee,,,missing,
KSUK-TX1,transplant_center,University of Kansas Hospital,Kansas,38.5266,-96.7265,state_centroid,
PATU-TX1,transplant_center,Temple University Hospital,Pennsylvania,,,missing,
PRLL-OP1,source_dsa,LifeLink of Puerto Rico,Puerto Rico,,,missing,
WISE-TX1,transplant_center,Froedtert Memorial Lutheran Hospital,Wisconsin,,,missing,
TXHD-TX1,transplant_center,Medical City Dallas Hospital,Texas,,,missing,
WASM-TX1,transplant_center,Swedish Medical Center,Washington,47.4009,-121.4905,state_centroid,
ORUO-TX1,transplant_center,Oregon Health and Science University,Oregon,44.572,-122.0709,state_centroid,
MDUM-TX1,transplant_center,University of Maryland Medical System,Maryland,,,missing,
CAIM-TX1,transplant_center,University of California Irvine Medical Center,California,36.1162,-119.6816,state_centroid,
MABI-TX1,transplant_center,Beth Israel Deaconess Medical Center,Massachusetts,,,missing,
TNMH-TX1,transplant_center,Methodist University Hospital,Tennessee,,,missing,
TXMC-TX1,transplant_center,Methodist Dallas Medical Center,Texas,,,missing,
OKBC-TX1,transplant_center,Integris Baptist Medical Center,Oklahoma,,,missing,
ARUA-TX1,transplant_center,UAMS Medical Center,Arkansas,,,missing,
NYWN-OP1,source_dsa,Upstate New York Transplant Services Inc,New York,,,missing,
KYUK-TX1,transplant_center,University of Kentucky Medical Center,Kentucky,,,missing,
OHCO-TX1,transplant_center,University of Toledo Medical Center,Ohio,,,missing,
TNST-TX1,transplant_center,Saint Thomas Hospital,Tennessee,,,missing,
PATJ-TX1,transplant_center,Thomas Jefferson University Hospital,Pennsylvania,,,missing,
NCBG-TX1,transplant_center,Wake Forest Baptist Medical Center,North Carolina,,,missing,
NVUM-TX1,transplant_center,University Medical Center of Southern Nevada,Nevada,,,missing,
NYFL-IO1,source_dsa,Finger Lakes Donor Recovery Network,New York,,,missing,
LATU-TX1,transplant_center,Tulane Medical Center,Louisiana,,,missing,
NYFL-TX1,transplant_center,"Strong Memorial Hospital, University of Rochester Medical Center",New York,,,missing,
FLMR-TX1,transplant_center,Memorial Regional Hospital,Florida,,,missing,
NYWC-TX1,transplant_center,Westchester Medical Center,New York,,,missing,
MSUM-TX1,transplant_center,University of Mississippi Medical Center,Mississippi,,,missing,
HIOP-OP1,source_dsa,Legacy of Life Hawaii,Hawaii,21.0943,-157.4983,state_centroid,
AZGS-TX1,transplant_center,Banner-University Medical Center Phoenix,Arizona,,,missing,
ILPL-TX1,transplant_center,Rush University Medical Center,Illinois,,,missing,
MANM-TX1,transplant_center,Tufts Medical Center,Massachusetts,,,missing,
PAAG-TX1,transplant_center,Allegheny General Hospital,Pennsylvania,,,missing,
MAUM-TX1,transplant_center,UMass Memorial Medical Center,Massachusetts,,,missing,
MALC-TX1,transplant_center,Lahey Clinic Medical Center,Massachusetts,,,missing,
AZSJ-TX1,transplant_center,St. Joseph's Hospital and Medical Center,Arizona,,,missing,
CTYN-TX1,transplant_center,Yale New Haven Hospital,Connecticut,,,missing,
MAPB-TX1,transplant_center,Brigham and Women's Hospital,Massachusetts,,,missing,
PAAE-TX1,transplant_center,Albert Einstein Medical Center,Pennsylvania,,,missing,
PALV-TX1,transplant_center,Lehigh Valley Hospital,Pennsylvania,,,missing,
