source_dsa_id,destination_center_id,flow_count
AZOB-OP1,AZMC-TX1,445
CORS-OP1,COUC-TX1,290
CAOP-OP1,CAUC-TX1,277
WALC-OP1,WAUW-TX1,270
FLWC-OP1,FLTG-TX1,266
CAOP-OP1,CACS-TX1,259
CADN-OP1,CASF-TX1,247
MAOB-OP1,MAMG-TX1,221
TNDS-OP1,TNVU-TX1,208
GALL-OP1,GAEM-TX1,206
LAOP-OP1,LAOF-TX1,204
UTOP-OP1,UTLD-TX1,202
MNOP-OP1,MNUM-TX1,198
TXGC-OP1,TXMH-TX1,194
PADV-OP1,PAUP-TX1,193
MOMA-OP1,MOBH-TX1,187
SCOP-OP1,SCMU-TX1,184
CAOP-OP1,CALL-TX1,182
CADN-OP1,CAPM-TX1,177
WALC-OP1,WASM-TX1,174
FLMP-OP1,FLJM-TX1,172
ILIP-OP1,ILNM-TX1,168
GALL-OP1,GAPH-TX1,164
CAOP-OP1,CAUH-TX1,160
MNOP-OP1,MNMC-TX1,159
