,,,All Organs,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart,Lung,Heart / Lung,Intestine,VCA - abdominal wall,VCA - head and neck,VCA - upper limb,VCA - uterus
,Membranous Nephropathy,,453,453,0,0,1,0,0,0,0,0,0,0,0
,Mesangio-Capillary 1. Glomerulonephritis,,36,36,0,0,0,0,0,0,0,0,0,0,0
,Mesangio-Capillary 2. Glomerulonephritis,,15,15,0,0,0,0,0,0,0,0,0,0,0
,Metdis: Alpha-1-Antitrypsin Defic A-1-A,,25,0,25,0,0,0,0,0,0,0,0,0,0
,Metdis: Glyc Stor Dis Type I. (Gsd-I),,4,0,4,0,0,0,0,0,0,0,0,0,0
,Amyloidosis,,193,193,0,0,0,0,0,0,0,0,0,0,0
,Metdis: Glyc Stor Dis Type Iv (Gsd-Iv),,1,0,1,0,0,0,0,0,0,0,0,0,0
,Metdis: Hemochromatosis -. Hemosiderosis,,24,0,24,0,0,0,0,0,0,0,0,0,0
,"Metdis: Hyperlipidemia-Ii, Homozygous Hypercholes",,1,0,1,0,0,0,0,0,0,0,0,0,0
,Metdis: Maple Syrup Urine Disease,,12,0,12,0,0,0,0,0,0,0,0,0,0
,Metdis: Other Specify,,27,0,27,0,0,0,0,0,0,0,0,0,0
,"Metdis: Primary Oxalosis/Oxaluria, Hyperoxaluria",,3,0,3,0,0,0,0,0,0,0,0,0,0
,Metdis: Tyrosinemia,,1,0,1,0,0,0,0,0,0,0,0,0,0
,"Metdis: Wilson'S Disease, Other Copper Metabolism",,12,0,12,0,0,0,0,0,0,0,0,0,0
,Mixed Connective Tissue Disease,,31,0,0,0,0,0,31,0,0,0,0,0,0
,
,Muscular Dystrophy: Other Specify,,7,0,0,0,0,7,0,0,0,0,0,0,0
,Acquired Obstructive Nephropathy,,557,557,0,0,0,0,0,0,0,0,0,0,0
,ACUTE ALCOHOLIC HEPATITIS,,3,0,3,0,0,0,0,0,0,0,0,0,0
,Analgesic Nephropathy,,135,135,0,0,0,0,0,0,0,0,0,0,0
,Myeloma,,91,91,0,0,0,0,0,0,0,0,0,0,0
,Neonatal Cholestatic Liver Disease,,2,0,2,0,0,0,0,0,0,0,0,0,0
,Neonatal Hepatitis Other Specify,,2,0,2,0,0,0,0,0,0,0,0,0,0
,Nephritis,,297,296,0,0,1,0,0,0,0,0,0,0,0
,Nephrolithiasis,,243,243,0,0,0,0,0,0,0,0,0,0,0
,Nephronophthisis,,74,74,0,0,0,0,0,0,0,0,0,0,0
,Obliterative Bronchiolitis (Non-Retransplant),,10,0,0,0,0,0,10,0,0,0,0,0,0
,Obstructive Lung Disease,,4,0,0,0,0,0,4,0,0,0,0,0,0
,Occupational Lung Disease Other Specify,,5,0,0,0,0,0,5,0,0,0,0,0,0
,Other Cancers,,1,0,0,1,0,0,0,0,0,0,0,0,0
,Anti-Gbm,,63,63,0,0,0,0,0,0,0,0,0,0,0
,Oxalate Nephropathy (Includes Hereditary Oxalosis,,104,104,0,0,1,0,0,0,0,0,0,0,0
,Pancreatectomy Prior To Pancreas Tx,,4,0,0,4,0,0,0,0,0,0,0,0,0
,Plm: Cholangiocarcinoma (Ch-Ca),,43,0,43,0,0,0,0,0,0,0,0,0,0
,Plm: Fibrolamellar (Fl-Hc),,1,0,1,0,0,0,0,0,0,0,0,0,0
,"Plm: Hemangioendothelioma, Hemangiosarcoma, Angio",,2,0,2,0,0,0,0,0,0,0,0,0,0
,Plm: Hepatoblastoma (Hbl),,4,0,4,0,0,0,0,0,0,0,0,0,0
,Plm: Hepatoma (Hcc) And Cirrhosis,,444,0,444,0,0,0,0,0,0,0,0,0,0
,Plm: Hepatoma -. Hepatocellular Carcinoma,,432,0,432,0,0,0,0,0,0,0,0,0,0
,Antibiotic-Induced Nephritis,,21,21,0,0,0,0,0,0,0,0,0,0,0
,"Plm: Other Specify (I.E., Klatzkin Tumor, Leiomys",,8,0,8,0,0,0,0,0,0,0,0,0,0
,Polyarteritis,,12,12,0,0,0,0,0,0,0,0,0,0,0
,Polycystic Kidneys,,"5,585","5,583",0,1,5,0,0,0,0,0,0,0,0
,Polymyositis,,4,0,0,0,0,0,4,0,0,0,0,0,0
,Portopulmonary Hypertension,,2,0,0,0,0,0,2,0,0,0,0,0,0
,Pre-Bmtransplantation Total Body Irradiation,,4,4,0,0,0,0,0,0,0,0,0,0,0
,Primary Biliary Cirrhosis (Pbc),,179,0,179,0,0,0,0,0,0,0,0,0,0
,Primary Ciliary Dyskinesia,,1,0,0,0,0,0,1,0,0,0,0,0,0
,Progressive Systemic Sclerosis,,3,3,0,0,0,0,0,0,0,0,0,0,0
,Prune Belly Syndrome,,40,40,0,0,0,0,0,0,0,0,0,0,0
,Ards/Pneumonia,,2,0,0,0,0,0,2,0,0,0,0,0,0
,Psc: Crohn'S Disease,,34,0,34,0,0,0,0,0,0,0,0,0,0
,Psc: No Bowel Disease,,118,0,118,0,0,0,0,0,0,0,0,0,0
,Psc: Other Specify,,38,0,38,0,0,0,0,0,0,0,0,0,0
,Psc: Ulcerative Colitis,,135,0,135,0,0,0,0,0,0,0,0,0,0
,Pulmonary Fibrosis Other Specify Cause,,91,0,0,0,0,0,91,1,0,0,0,0,0
,Pulmonary Hypertension/Pulmonary Arterial Hyperte,,34,0,0,0,0,0,33,12,0,0,0,0,0
,
