,,,All Organs,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart,Lung,Heart / Lung,Intestine,VCA - abdominal wall,VCA - head and neck,VCA - upper limb,VCA - uterus
,FLUF-TX1 UF Health Shands Hospital,,627,493,45,1,14,92,11,2,0,0,0,0,0
,GAEH-TX1 Children’s Healthcare of Atlanta - Arthur M. Blank Hospital,,51,31,6,0,0,14,0,0,0,0,0,0,0
,GAEM-TX1 Emory University Hospital,,"1,906","1,762",74,0,24,79,5,0,0,0,0,0,0
,"GAMC-TX1 Wellstar MCG Health, affiliated with Medical College of Georgia",,479,475,0,0,6,0,0,0,0,0,0,0,0
,GAPH-TX1 Piedmont Hospital,,"1,021",863,116,1,17,64,0,0,0,0,0,0,0
,HIQM-TX1 The Queen's Medical Center,,366,337,29,0,5,0,0,0,0,0,0,0,0
,IAIM-TX1 Iowa Methodist Medical Center,,192,192,0,0,0,0,0,0,0,0,0,0,0
,IAIV-TX1 University of Iowa Hospitals and Clinics Transplant Programs,,338,284,18,1,20,18,6,0,0,0,0,0,0
,IAMH-TX1 MercyOne Des Moines Transplant Center,,14,8,0,2,4,0,0,0,0,0,0,0,0
,IAVA-TX1 The Iowa City VA Health Care System,,83,83,0,0,0,0,0,0,0,0,0,0,0
,ILCH-TX1 Advocate Christ Medical Center,,259,227,0,0,0,33,0,0,0,0,0,0,0
,ILCM-TX1 Ann & Robert H. Lurie Children's Hospital of Chicago,,100,50,12,5,0,36,0,0,8,0,0,0,0
,ILEH-TX1 Evanston Hospital,,13,0,0,0,0,13,0,0,0,0,0,0,0
,ILLU-TX1 Loyola University Medical Center,,571,468,20,8,26,31,34,0,0,0,0,0,0
,ILMM-TX1 Springfield Memorial Hospital,,117,117,0,0,0,0,0,0,0,0,0,0,0
,ILNM-TX1 Northwestern Memorial Hospital,,"1,093",952,52,19,61,34,1,0,0,0,0,0,0
,ILPL-TX1 Rush University Medical Center,,460,422,38,21,21,0,0,0,0,0,0,0,0
,ILSF-TX1 OSF Saint Francis Medical Center,,280,263,0,0,4,17,0,0,0,0,0,0,0
,ILUC-TX1 University of Chicago Medical Center,,790,649,66,27,15,46,7,0,0,0,0,0,0
,ILUI-TX1 University of Illinois Medical Center,,607,547,23,0,37,0,0,0,4,0,0,0,0
,ILVA-TX1 Edward Hines Jr. Veterans Administration Medical Center,,287,287,0,0,0,0,0,0,0,0,0,0,0
,INIM-TX1 Indiana University Health,,"1,039",888,111,10,42,37,6,0,15,0,0,0,0
,INLH-TX1 Lutheran Hospital of Fort Wayne,,24,22,0,0,0,2,0,0,0,0,0,0,0
,
