diagnosis,organ,count,organ_color
Benign Tumor: Other Specify,Liver,4,#7c9a92
Sec Biliary Cirrhosis: Caroli'S Disease,Liver,11,#7c9a92
Sec Biliary Cirrhosis: Choledochol Cyst,Liver,7,#7c9a92
Sec Biliary Cirrhosis: Other Specify,Liver,22,#7c9a92
Secondary Hepatic Malignancy Other Specify,Liver,14,#7c9a92
Benign Tumor: Polycystic Liver Disease,Liver,63,#7c9a92
"Bile Duct Cancer: (Cholangioma, Biliary Tract Car",Liver,8,#7c9a92
Tpn/Hyperalimentation Ind Liver Disease,Liver,33,#7c9a92
Trauma Other Specify,Liver,3,#7c9a92
CYSTIC FIBROSIS,Liver,14,#7c9a92
"Biliary Atresia Or Hypoplasia: Other, Specify",Liver,33,#7c9a92
"Other, Specify",Liver,374,#7c9a92
Not Reported,Liver,1075,#7c9a92
Biliary Atresia: Extrahepatic,Liver,109,#7c9a92
ACUTE ALCOHOL-ASSOCIATED HEPATITIS WITH OR WITHOUT CIRRHOSIS,Liver,228,#7c9a92
ALCOHOL-ASSOCIATED CIRRHOSIS WITHOUT ACUTE ALCOHOL-ASSOCIATED HEPATITIS,Liver,2124,#7c9a92
Biliary Hypoplasia: Alagille’s Syndrome (Paucity,Liver,14,#7c9a92
CIRRHOSIS: METABOLIC DYSFUNCTION - ASSOCIATED STEATOHEPATITIS (MASH),Liver,1090,#7c9a92
CIRRHOSIS: METABOLIC DYSFUNCTION AND ALCOHOL-RELATED/ASSOCIATED LIVER DISEASE (METALD),Liver,263,#7c9a92
Biliary Hypoplasia: Nonsyndromic Paucity Of Intra,Liver,1,#7c9a92
Budd-Chiari Syndrome,Liver,48,#7c9a92
Ahn: Drug Other Specify,Liver,4,#7c9a92
Choles Liver Disease: Other Specify,Liver,12,#7c9a92
Cirrhosis: Autoimmune,Liver,247,#7c9a92
Ahn: Etiology Unknown,Liver,6,#7c9a92
Cirrhosis: Chronic Active Hepatitis: Etiology Unk,Liver,6,#7c9a92
Cirrhosis: Cryptogenic (Idiopathic),Liver,223,#7c9a92
Cirrhosis: Drug/Indust Exposure Other Specify,Liver,8,#7c9a92
Cirrhosis: Fatty Liver (Nash),Liver,379,#7c9a92
"Cirrhosis: Other, Specify (E.G., Histiocytosis, S",Liver,103,#7c9a92
Cirrhosis: Type A,Liver,1,#7c9a92
Cirrhosis: Type B. And C,Liver,6,#7c9a92
Cirrhosis: Type B. And D,Liver,3,#7c9a92
Cirrhosis: Type B- Hbsag+,Liver,91,#7c9a92
"Ahn: Other, Specify (E.G., Acute Viral Infection,",Liver,30,#7c9a92
Cirrhosis: Type C,Liver,338,#7c9a92
Cirrhosis: Type D,Liver,1,#7c9a92
Congenital Hepatic Fibrosis,Liver,25,#7c9a92
Ahn: Type B. And C,Liver,1,#7c9a92
Ahn: Type B. And D,Liver,1,#7c9a92
Focal Glomerular Sclerosis (Focal Segmental -. Fs,Pancreas,1,#a8b3a1
Hypertensive Nephrosclerosis,Pancreas,2,#a8b3a1
Iga Nephropathy,Pancreas,1,#a8b3a1
Other Cancers,Pancreas,1,#a8b3a1
Pancreatectomy Prior To Pancreas Tx,Pancreas,4,#a8b3a1
Polycystic Kidneys,Pancreas,1,#a8b3a1
Retransplant/Graft Failure,Pancreas,4,#a8b3a1
Bile Duct Cancer,Pancreas,1,#a8b3a1
"Other, Specify",Pancreas,103,#a8b3a1
Not Reported,Pancreas,43,#a8b3a1
RETRANSPLANT/GRAFT FAILURE,Pancreas,43,#a8b3a1
Cystinosis,Pancreas,1,#a8b3a1
Diabetes Mellitus -. Type I,Pancreas,117,#a8b3a1
Diabetes Mellitus -. Type I,Pancreas,367,#a8b3a1
Diabetes Mellitus -. Type II,Pancreas,54,#a8b3a1
Diabetes Mellitus -. Type II,Pancreas,88,#a8b3a1
Diabetes Mellitus -. Type Other /. Unknown,Pancreas,2,#a8b3a1
Diabetes Mellitus -. Type Other /. Unknown,Pancreas,4,#a8b3a1
Diabetes Secondary To Chronic Pancreatitis Withou,Pancreas,1,#a8b3a1
Diabetes Secondary To Cystic Fibrosis Without Pan,Pancreas,6,#a8b3a1
Focal Glomerular Sclerosis (Focal Segmental -. Fs,Kidney / Pancreas,3,#4f6f55
Hemolytic Uremic Syndrome,Kidney / Pancreas,1,#4f6f55
Hypertensive Nephrosclerosis,Kidney / Pancreas,44,#4f6f55
Iga Nephropathy,Kidney / Pancreas,8,#4f6f55
Malignant Hypertension,Kidney / Pancreas,1,#4f6f55
Medullary Cystic Disease,Kidney / Pancreas,1,#4f6f55
Membranous Nephropathy,Kidney / Pancreas,1,#4f6f55
Nephritis,Kidney / Pancreas,1,#4f6f55
Oxalate Nephropathy (Includes Hereditary Oxalosis,Kidney / Pancreas,1,#4f6f55
Polycystic Kidneys,Kidney / Pancreas,5,#4f6f55
Retransplant/Graft Failure,Kidney / Pancreas,36,#4f6f55
Systemic Lupus Erythematosus,Kidney / Pancreas,1,#4f6f55
Acute Tubular Necrosis,Kidney / Pancreas,1,#4f6f55
"Other, Specify",Kidney / Pancreas,31,#4f6f55
Not Reported,Kidney / Pancreas,126,#4f6f55
Calcineurin Inhibitor Nephrotoxicity,Kidney / Pancreas,3,#4f6f55
Chronic Nephrosclerosis-Unspecified,Kidney / Pancreas,1,#4f6f55
Cystinosis,Kidney / Pancreas,2,#4f6f55
Diabetes -. Type I. Insulin Dep/Juv Onset,Kidney / Pancreas,3,#4f6f55
Diabetes Mellitus -. Type I,Kidney / Pancreas,1540,#4f6f55
Diabetes Mellitus -. Type II,Kidney / Pancreas,676,#4f6f55
Diabetes Mellitus -. Type Other /. Unknown,Kidney / Pancreas,16,#4f6f55
Dilated Myopathy: Post Partum,Heart,37,#9c7a7a
Heart Re-Tx/Gf: Acute Rejection,Heart,2,#9c7a7a
