,,All Donation Service Areas,ALOB-OP1 Legacy of Hope,AROR-OP1 Southern Legacy of Life,AZOB-OP1 Donor Network of Arizona,CADN-OP1 Donor Network West,CAGS-OP1 Sierra Donor Services,CAOP-OP1 OneLegacy,CASD-IO1 Lifesharing - A Donate Life Organization,CORS-OP1 Donor Alliance,FLFH-IO1 OurLegacy,FLMP-OP1 South Florida Donor Network,FLUF-IO1 LifeQuest Organ Recovery Services,FLWC-OP1 LifeLink of Florida,GALL-OP1 LifeLink of Georgia,HIOP-OP1 Legacy of Life Hawaii,IAOP-OP1 Iowa Donor Network,ILIP-OP1 Gift of Hope Organ & Tissue Donor Network,INOP-OP1 Indiana Donor Network,KYDA-OP1 Network for Hope,LAOP-OP1 Louisiana Organ Procurement Agency,MAOB-OP1 New England Organ Bank,MDPC-OP1 Infinite Legacy,MIOP-OP1 Gift of Life Michigan,MNOP-OP1 LifeSource Upper Midwest Organ Procurement Organization,MOMA-OP1 Mid-America Transplant Services,MSOP-OP1 Mississippi Organ Recovery Agency,MWOB-OP1 Midwest Transplant Network,NCCM-IO1 LifeShare Carolinas,NCNC-OP1 HonorBridge,NEOR-OP1 Live On Nebraska,NJTO-OP1 New Jersey Organ and Tissue Sharing Network OPO,NMOP-OP1 New Mexico Donor Services,NVLV-OP1 Nevada Donor Network,NYAP-OP1 Center for Donation and Transplant,NYFL-IO1 Finger Lakes Donor Recovery Network,NYRT-OP1 LiveOnNY,NYWN-OP1 Upstate New York Transplant Services Inc,OHLB-OP1 Lifebanc,OHLC-OP1 Life Connection of Ohio,OHLP-OP1 Lifeline of Ohio,OKOP-OP1 LifeShare Transplant Donor Services of Oklahoma,ORUO-IO1 Cascade Life Alliance,PADV-OP1 Gift of Life Donor Program,PATF-OP1 Center for Organ Recovery and Education,PRLL-OP1 LifeLink of Puerto Rico,SCOP-OP1 We Are Sharing Hope SC,TNDS-OP1 Tennessee Donor Services,TNMS-OP1 Mid-South Transplant Foundation,TXGC-OP1 LifeGift Organ Donation Center,TXSA-OP1 Texas Organ Sharing Alliance,TXSB-OP1 Southwest Transplant Alliance,UTOP-OP1 DonorConnect,VATB-OP1 LifeNet Health,WALC-OP1 LifeCenter Northwest,"WIDN-OP1 Versiti Blood Health, Inc.",WIUW-IO1 UW Health Organ and Tissue Donation
All Discarded,,"11,345",189,149,282,295,137,578,85,169,105,123,239,221,245,18,90,358,255,205,256,487,217,388,228,196,64,239,121,249,98,209,122,175,85,38,435,74,147,113,62,235,134,595,466,76,277,314,65,307,129,320,122,180,230,49,100
Kidneys Discarded,,"8,227",148,128,194,246,111,403,56,101,77,93,149,166,199,17,57,246,159,159,196,343,163,285,179,151,58,163,110,168,75,157,99,135,72,29,323,63,110,71,42,146,97,338,323,58,211,251,43,224,88,231,100,135,184,32,65
Livers Discarded,,"1,569",19,9,47,33,21,124,9,20,18,6,40,33,19,0,21,33,58,24,36,68,28,57,26,29,5,23,7,46,17,16,18,12,6,4,67,8,20,23,12,50,21,105,94,10,41,32,3,27,17,25,15,16,30,5,16
Hearts Discarded,,118,3,1,8,5,1,4,2,1,2,1,1,0,3,1,0,1,3,2,3,8,1,2,1,4,0,2,0,2,1,1,1,7,1,0,4,0,0,1,2,3,1,14,1,0,1,1,2,3,2,1,1,2,4,2,0
Pancreases Discarded,,304,2,1,8,1,2,21,3,6,1,2,4,6,2,0,2,17,11,8,3,9,5,11,3,1,1,2,2,9,2,16,2,1,6,2,7,1,1,2,3,6,6,44,9,1,4,7,3,3,4,6,2,8,4,6,5
Lungs Discarded,,"1,123",17,10,25,10,2,26,15,41,7,21,45,16,22,0,10,58,23,12,18,59,20,33,19,11,0,49,2,24,3,19,2,20,0,3,34,2,16,16,3,30,9,94,39,7,20,23,14,50,18,57,4,19,8,4,14
Intestines Discarded,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
