date,course,side,tee,score,par,score_vs_par,completed_holes_in_round,round_key
2026-09-13,Newman Golf Course,front,White,54,36,18,18,50cb7a5e1e77aff0
2026-09-13,Newman Golf Course,back,White,59,36,23,18,50cb7a5e1e77aff0
