session_id,date,source_image,club,shot_number,flat_carry_yd,total_yd,ball_speed_mph,launch_deg,apex_ft,landing_deg,curve_ft,curve_dir,offline_ft,offline_dir,notes,exclude_flag,offline_signed_ft,curve_signed_ft
toptracer_2026_05,5/3/26,IMG_7643.jpeg,5H,3,162.0,170.0,129.0,18.0,64.0,35.0,6.0,L,20.0,L,solid,False,-20.0,-6.0
toptracer_2026_05,5/3/26,IMG_7643.jpeg,5H,4,148.0,154.0,120.0,19.0,66.0,38.0,14.0,L,39.0,L,left miss,False,-39.0,-14.0
toptracer_2026_05,5/3/26,IMG_7644.jpeg,7W,1,158.0,166.0,126.0,15.0,55.0,30.0,4.0,R,18.0,R,solid,False,18.0,4.0
toptracer_2026_05,5/3/26,IMG_7644.jpeg,7W,2,164.0,171.0,131.0,14.0,52.0,28.0,0.0,L,10.0,R,solid,False,10.0,-0.0
toptracer_2026_05,5/3/26,IMG_7644.jpeg,7W,3,151.0,158.0,122.0,17.0,61.0,34.0,15.0,L,44.0,L,left miss,False,-44.0,-15.0
toptracer_2026_05,5/3/26,IMG_7644.jpeg,7W,4,160.0,168.0,128.0,15.0,56.0,31.0,8.0,R,26.0,R,right miss,False,26.0,8.0
toptracer_2026_05,5/3/26,IMG_7645.jpeg,5W,1,171.0,179.0,133.0,14.0,51.0,27.0,0.0,L,9.0,R,solid,False,9.0,-0.0
toptracer_2026_05,5/3/26,IMG_7645.jpeg,5W,2,177.0,185.0,138.0,13.0,49.0,26.0,12.0,R,41.0,R,right miss,False,41.0,12.0
toptracer_2026_05,5/3/26,IMG_7645.jpeg,5W,3,180.0,188.0,140.0,12.0,46.0,24.0,18.0,L,56.0,L,left miss,False,-56.0,-18.0
toptracer_2026_05,5/3/26,IMG_7645.jpeg,5W,4,169.0,176.0,131.0,15.0,54.0,29.0,5.0,R,22.0,R,solid,False,22.0,5.0
toptracer_2026_05,5/3/26,IMG_7646.jpeg,3W,1,176.0,188.0,139.0,13.0,47.0,25.0,0.0,L,12.0,R,solid,False,12.0,-0.0
toptracer_2026_05,5/3/26,IMG_7646.jpeg,3W,2,185.0,198.0,145.0,12.0,44.0,23.0,16.0,R,55.0,R,big right,False,55.0,16.0
toptracer_2026_05,5/3/26,IMG_7646.jpeg,3W,3,168.0,180.0,133.0,15.0,52.0,28.0,10.0,L,34.0,L,left miss,False,-34.0,-10.0
toptracer_2026_05,5/3/26,IMG_7646.jpeg,3W,4,182.0,194.0,142.0,13.0,46.0,24.0,4.0,R,20.0,R,solid,False,20.0,4.0
toptracer_2026_05,5/3/26,IMG_7647.jpeg,DR,1,192.0,211.0,138.0,12.0,43.0,22.0,24.0,R,88.0,R,big slice,False,88.0,24.0
toptracer_2026_05,5/3/26,IMG_7647.jpeg,DR,2,205.0,224.0,144.0,11.0,39.0,20.0,0.0,L,18.0,R,solid bullet,False,18.0,-0.0
toptracer_2026_05,5/3/26,IMG_7647.jpeg,DR,3,187.0,205.0,136.0,13.0,45.0,23.0,18.0,L,72.0,L,left miss,False,-72.0,-18.0
toptracer_2026_05,5/3/26,IMG_7647.jpeg,DR,4,199.0,219.0,141.0,12.0,41.0,21.0,10.0,R,36.0,R,playable,False,36.0,10.0
toptracer_2026_05,5/3/26,IMG_7648.jpeg,LW,1,52.0,53.0,49.0,42.0,38.0,51.0,0.0,L,4.0,R,solid,False,4.0,-0.0
toptracer_2026_05,5/3/26,IMG_7648.jpeg,LW,2,55.0,56.0,51.0,44.0,41.0,53.0,5.0,R,14.0,R,solid,False,14.0,5.0
toptracer_2026_05,5/3/26,IMG_7648.jpeg,LW,3,48.0,49.0,47.0,45.0,39.0,54.0,8.0,L,20.0,L,left miss,False,-20.0,-8.0
toptracer_2026_05,5/3/26,IMG_7648.jpeg,LW,4,58.0,60.0,54.0,41.0,36.0,49.0,0.0,L,2.0,R,solid,False,2.0,-0.0
toptracer_2026_05,5/3/26,IMG_7649.jpeg,SW,1,68.0,70.0,63.0,39.0,57.0,49.0,0.0,L,7.0,R,solid,False,7.0,-0.0
toptracer_2026_05,5/3/26,IMG_7649.jpeg,SW,2,72.0,74.0,66.0,37.0,54.0,46.0,6.0,R,18.0,R,solid,False,18.0,6.0
toptracer_2026_05,5/3/26,IMG_7649.jpeg,SW,3,61.0,63.0,58.0,41.0,61.0,52.0,12.0,L,29.0,L,left miss,False,-29.0,-12.0
toptracer_2026_05,5/3/26,IMG_7649.jpeg,SW,4,75.0,77.0,69.0,36.0,51.0,44.0,0.0,L,6.0,R,solid,False,6.0,-0.0
