donor_type,organ,to_date,year,transplants
Living Donor,Kidney / Pancreas,48,2008,0
Living Donor,Kidney / Pancreas,48,2009,0
Living Donor,Kidney / Pancreas,48,2010,0
Living Donor,Kidney / Pancreas,48,2011,0
Living Donor,Kidney / Pancreas,48,2012,0
Living Donor,Kidney / Pancreas,48,2013,1
Living Donor,Kidney / Pancreas,48,2014,0
Living Donor,Kidney / Pancreas,48,2015,0
Living Donor,Kidney / Pancreas,48,2016,0
Living Donor,Kidney / Pancreas,48,2017,0
Living Donor,Kidney / Pancreas,48,2018,0
Living Donor,Kidney / Pancreas,48,2019,0
Living Donor,Kidney / Pancreas,48,2020,0
Living Donor,Kidney / Pancreas,48,2021,0
Living Donor,Kidney / Pancreas,48,2022,0
Living Donor,Kidney / Pancreas,48,2023,0
Living Donor,Kidney / Pancreas,48,2024,0
Living Donor,Kidney / Pancreas,48,2025,0
Living Donor,Kidney / Pancreas,48,2026,0
Living Donor,Liver,11147,1988,0
Living Donor,Liver,11147,1989,2
Living Donor,Liver,11147,1990,14
Living Donor,Liver,11147,1991,22
Living Donor,Liver,11147,1992,33
Living Donor,Liver,11147,1993,36
Living Donor,Liver,11147,1994,60
Living Donor,Liver,11147,1995,54
Living Donor,Liver,11147,1996,65
Living Donor,Liver,11147,1997,88
Living Donor,Liver,11147,1998,92
Living Donor,Liver,11147,1999,258
Living Donor,Liver,11147,2000,406
Living Donor,Liver,11147,2001,524
Living Donor,Liver,11147,2002,363
Living Donor,Liver,11147,2003,322
Living Donor,Liver,11147,2004,323
Living Donor,Liver,11147,2005,323
Living Donor,Liver,11147,2006,288
Living Donor,Liver,11147,2007,266
Living Donor,Liver,11147,2008,249
Living Donor,Liver,11147,2009,219
Living Donor,Liver,11147,2010,282
Living Donor,Liver,11147,2011,247
Living Donor,Liver,11147,2012,246
Living Donor,Liver,11147,2013,252
Living Donor,Liver,11147,2014,280
Living Donor,Liver,11147,2015,359
Living Donor,Liver,11147,2016,345
Living Donor,Liver,11147,2017,367
Living Donor,Liver,11147,2018,401
Living Donor,Liver,11147,2019,524
Living Donor,Liver,11147,2020,491
Living Donor,Liver,11147,2021,569
Living Donor,Liver,11147,2022,603
Living Donor,Liver,11147,2023,658
Living Donor,Liver,11147,2024,604
Living Donor,Liver,11147,2025,709
Living Donor,Liver,11147,2026,203
Living Donor,Lung,253,1988,0
Living Donor,Lung,253,1989,0
Living Donor,Lung,253,1990,1
Living Donor,Lung,253,1991,4
Living Donor,Lung,253,1992,0
Living Donor,Lung,253,1993,7
Living Donor,Lung,253,1994,16
Living Donor,Lung,253,1995,24
Living Donor,Lung,253,1996,24
Living Donor,Lung,253,1997,21
Living Donor,Lung,253,1998,29
Living Donor,Lung,253,1999,29
Living Donor,Lung,253,2000,18
Living Donor,Lung,253,2001,25
Living Donor,Lung,253,2002,13
Living Donor,Lung,253,2003,15
Living Donor,Lung,253,2004,15
Living Donor,Lung,253,2005,1
Living Donor,Lung,253,2006,4
Living Donor,Lung,253,2007,3
Living Donor,Lung,253,2008,0
Living Donor,Lung,253,2009,1
Living Donor,Lung,253,2010,0
Living Donor,Lung,253,2011,1
Living Donor,Lung,253,2012,1
Living Donor,Lung,253,2013,1
Living Donor,Lung,253,2014,0
Living Donor,Lung,253,2015,0
Living Donor,Lung,253,2016,0
Living Donor,Lung,253,2017,0
Living Donor,Lung,253,2018,0
Living Donor,Lung,253,2019,0
Living Donor,Lung,253,2020,0
Living Donor,Lung,253,2021,0
Living Donor,Lung,253,2022,0
Living Donor,Lung,253,2023,0
Living Donor,Lung,253,2024,0
Living Donor,Lung,253,2025,0
Living Donor,Lung,253,2026,0
Living Donor,Pancreas,24,1988,5
Living Donor,Pancreas,24,1989,4
Living Donor,Pancreas,24,1990,2
Living Donor,Pancreas,24,1991,1
Living Donor,Pancreas,24,1992,3
Living Donor,Pancreas,24,1993,2
Living Donor,Pancreas,24,1994,0
Living Donor,Pancreas,24,1995,1
Living Donor,Pancreas,24,1996,1
Living Donor,Pancreas,24,1997,0
Living Donor,Pancreas,24,1998,0
Living Donor,Pancreas,24,1999,0
Living Donor,Pancreas,24,2000,1
Living Donor,Pancreas,24,2001,1
Living Donor,Pancreas,24,2002,1
Living Donor,Pancreas,24,2003,0
Living Donor,Pancreas,24,2004,0
Living Donor,Pancreas,24,2005,1
Living Donor,Pancreas,24,2006,0
Living Donor,Pancreas,24,2007,0
Living Donor,Pancreas,24,2008,1
Living Donor,Pancreas,24,2009,0
Living Donor,Pancreas,24,2010,0
Living Donor,Pancreas,24,2011,0
Living Donor,Pancreas,24,2012,0
Living Donor,Pancreas,24,2013,0
Living Donor,Pancreas,24,2014,0
Living Donor,Pancreas,24,2015,0
Living Donor,Pancreas,24,2016,0
Living Donor,Pancreas,24,2017,0
Living Donor,Pancreas,24,2018,0
Living Donor,Pancreas,24,2019,0
Living Donor,Pancreas,24,2020,0
Living Donor,Pancreas,24,2021,0
Living Donor,Pancreas,24,2022,0
Living Donor,Pancreas,24,2023,0
Living Donor,Pancreas,24,2024,0
Living Donor,Pancreas,24,2025,0
Living Donor,Pancreas,24,2026,0
Living Donor,VCA - uterus,48,1988,0
Living Donor,VCA - uterus,48,1989,0
Living Donor,VCA - uterus,48,1990,0
Living Donor,VCA - uterus,48,1991,0
Living Donor,VCA - uterus,48,1992,0
Living Donor,VCA - uterus,48,1993,0
Living Donor,VCA - uterus,48,1994,0
Living Donor,VCA - uterus,48,1995,0
Living Donor,VCA - uterus,48,1996,0
Living Donor,VCA - uterus,48,1997,0
Living Donor,VCA - uterus,48,1998,0
Living Donor,VCA - uterus,48,1999,0
Living Donor,VCA - uterus,48,2000,0
Living Donor,VCA - uterus,48,2001,0
Living Donor,VCA - uterus,48,2002,0
Living Donor,VCA - uterus,48,2003,0
Living Donor,VCA - uterus,48,2004,0
Living Donor,VCA - uterus,48,2005,0
Living Donor,VCA - uterus,48,2006,0
Living Donor,VCA - uterus,48,2007,0
Living Donor,VCA - uterus,48,2008,0
Living Donor,VCA - uterus,48,2009,0
Living Donor,VCA - uterus,48,2010,0
Living Donor,VCA - uterus,48,2011,0
Living Donor,VCA - uterus,48,2012,0
Living Donor,VCA - uterus,48,2013,0
Living Donor,VCA - uterus,48,2014,0
Living Donor,VCA - uterus,48,2015,0
Living Donor,VCA - uterus,48,2016,5
Living Donor,VCA - uterus,48,2017,1
Living Donor,VCA - uterus,48,2018,6
Living Donor,VCA - uterus,48,2019,6
Living Donor,VCA - uterus,48,2020,1
Living Donor,VCA - uterus,48,2021,2
Living Donor,VCA - uterus,48,2022,1
Living Donor,VCA - uterus,48,2023,7
Living Donor,VCA - uterus,48,2024,8
Living Donor,VCA - uterus,48,2025,8
Living Donor,VCA - uterus,48,2026,3
