id,type,name,state,region,total_inflow,total_outflow,total_flow,edge_count,lat,lon,coordinate_status,geocode_priority,geocode_query,notes
FLFH-IO1,source_dsa,OurLegacy,Florida,Region  3,0,556,556,78,,,missing,1,"OurLegacy, Florida (organ procurement)",
MOBH-TX1,transplant_center,Barnes-Jewish Hospital,Missouri,Region  8,551,0,551,41,38.6372,-90.2644,facility_or_city,1,"Barnes-Jewish Hospital, Missouri (transplant center hospital)",nominatim_batch;review
CASF-TX1,transplant_center,University of California San Francisco Medical Center,California,Region  5,548,0,548,33,36.1162,-119.6816,state_centroid,1,"University of California San Francisco Medical Center, California (transplant center hospital)",
OHOU-TX1,transplant_center,Ohio State University Medical Center,Ohio,Region  11,530,0,530,46,,,missing,1,"Ohio State University Medical Center, Ohio (transplant center hospital)",
WIUW-IO1,source_dsa,UW Health Organ and Tissue Donation,Wisconsin,Region  7,0,530,530,92,,,missing,1,"UW Health Organ and Tissue Donation, Wisconsin (organ procurement)",
PAUP-TX1,transplant_center,Hospital of the University of Pennsylvania,Pennsylvania,Region  2,523,0,523,37,39.9499,-75.1941,facility_or_city,1,"Hospital of the University of Pennsylvania, Pennsylvania (transplant center hospital)",nominatim_batch;review
NYUC-TX1,transplant_center,NYU Langone Health,New York,Region  9,503,0,503,51,40.7434,-73.9722,facility_or_city,1,"NYU Langone Health, New York (transplant center hospital)",nominatim_batch;review
DCGU-TX1,transplant_center,Medstar Georgetown Transplant Institute,District of Columbia,Region  2,502,0,502,44,,,missing,1,"Medstar Georgetown Transplant Institute, District of Columbia (transplant center hospital)",
NYMS-TX1,transplant_center,Mount Sinai Medical Center,New York,Region  9,496,0,496,44,40.7332,-73.982,facility_or_city,1,"Mount Sinai Medical Center, New York (transplant center hospital)",nominatim_batch;review
MAMG-TX1,transplant_center,Massachusetts General Hospital,Massachusetts,Region  1,495,0,495,46,42.3629,-71.0688,facility_or_city,1,"Massachusetts General Hospital, Massachusetts (transplant center hospital)",nominatim_batch;review
FLJM-TX1,transplant_center,Jackson Memorial Hospital University of Miami School of Medicine,Florida,Region  3,490,0,490,49,27.7663,-81.6868,state_centroid,1,"Jackson Memorial Hospital University of Miami School of Medicine, Florida (transplant center hospital)",
VAMC-TX1,transplant_center,"VCU Health System Authority, VCUMC",Virginia,Region  11,490,0,490,41,,,missing,1,"VCU Health System Authority, VCUMC, Virginia (transplant center hospital)",
FLSL-TX1,transplant_center,Mayo Clinic Hospital Florida,Florida,Region  3,470,0,470,46,30.2605,-81.4448,facility_or_city,1,"Mayo Clinic Hospital Florida, Florida (transplant center hospital)",nominatim_batch;review
CASD-IO1,source_dsa,Lifesharing - A Donate Life Organization,California,Region  5,0,463,463,62,,,missing,1,"Lifesharing - A Donate Life Organization, California (organ procurement)",
CASD-TX1,transplant_center,University of California San Diego Medical Center,California,Region  5,445,0,445,30,36.1162,-119.6816,state_centroid,1,"University of California San Diego Medical Center, California (transplant center hospital)",
UTLD-TX1,transplant_center,Intermountain Medical Center,Utah,Region  5,438,0,438,25,40.6596,-111.8912,facility_or_city,1,"Intermountain Medical Center, Utah (transplant center hospital)",nominatim_batch;review
WIUW-TX1,transplant_center,University of Wisconsin Hospital and Clinics,Wisconsin,Region  7,438,0,438,46,,,missing,1,"University of Wisconsin Hospital and Clinics, Wisconsin (transplant center hospital)",
COUC-TX1,transplant_center,University of Colorado Hospital/Health Science Center,Colorado,Region  8,435,0,435,28,39.0598,-105.3111,state_centroid,1,"University of Colorado Hospital/Health Science Center, Colorado (transplant center hospital)",
INIM-TX1,transplant_center,Indiana University Health,Indiana,Region  10,429,0,429,34,39.7807,-86.159,facility_or_city,1,"Indiana University Health, Indiana (transplant center hospital)",nominatim_batch;review
MIUM-TX1,transplant_center,University of Michigan Medical Center,Michigan,Region  10,425,0,425,43,42.2836,-83.7312,facility_or_city,1,"University of Michigan Medical Center, Michigan (transplant center hospital)",nominatim_batch;review
MNMC-TX1,transplant_center,Mayo Clinic Hospital Minnesota,Minnesota,Region  7,425,0,425,45,44.0193,-92.481,facility_or_city,1,"Mayo Clinic Hospital Minnesota, Minnesota (transplant center hospital)",nominatim_batch;review
NYCP-TX1,transplant_center,NY Presbyterian Hospital/Columbia Univ. Medical Center,New York,Region  9,424,0,424,51,,,missing,1,"NY Presbyterian Hospital/Columbia Univ. Medical Center, New York (transplant center hospital)",
CASU-TX1,transplant_center,Stanford Health Care,California,Region  5,419,0,419,28,37.2535,-121.9516,facility_or_city,1,"Stanford Health Care, California (transplant center hospital)",nominatim_batch;review
OHLC-OP1,source_dsa,Life Connection of Ohio,Ohio,Region  11,0,409,409,90,,,missing,1,"Life Connection of Ohio, Ohio (organ procurement)",
TXSP-TX1,transplant_center,UT Southwestern Medical Center/William P. Clements Jr. University Hospital,Texas,Region  4,409,0,409,40,31.0545,-97.5635,state_centroid,1,"UT Southwestern Medical Center/William P. Clements Jr. University Hospital, Texas (transplant center hospital)",
FLUF-TX1,transplant_center,UF Health Shands Hospital,Florida,Region  3,406,0,406,33,30.3485,-81.6649,facility_or_city,1,"UF Health Shands Hospital, Florida (transplant center hospital)",nominatim_batch;review
ALUA-TX1,transplant_center,University of Alabama Hospital,Alabama,Region  3,401,0,401,39,30.6983,-88.0775,facility_or_city,1,"University of Alabama Hospital, Alabama (transplant center hospital)",nominatim_batch;review
AROR-OP1,source_dsa,Southern Legacy of Life,Arkansas,Region  3,0,400,400,77,,,missing,1,"Southern Legacy of Life, Arkansas (organ procurement)",
TXTX-TX1,transplant_center,Baylor University Medical Center,Texas,Region  4,400,0,400,41,32.7899,-96.7779,facility_or_city,1,"Baylor University Medical Center, Texas (transplant center hospital)",nominatim_batch;review
MDJH-TX1,transplant_center,Johns Hopkins Hospital,Maryland,Region  2,397,0,397,42,39.2964,-76.5924,facility_or_city,1,"Johns Hopkins Hospital, Maryland (transplant center hospital)",nominatim_batch;review
MNUM-TX1,transplant_center,"University of Minnesota Medical Center, Fairview",Minnesota,Region  7,397,0,397,42,45.6945,-93.9002,state_centroid,1,"University of Minnesota Medical Center, Fairview, Minnesota (transplant center hospital)",
WAUW-TX1,transplant_center,University of Washington Medical Center,Washington,Region  6,395,0,395,17,47.4009,-121.4905,state_centroid,1,"University of Washington Medical Center, Washington (transplant center hospital)",
OHLP-OP1,source_dsa,Lifeline of Ohio,Ohio,Region  11,0,382,382,77,,,missing,1,"Lifeline of Ohio, Ohio (organ procurement)",
CAGS-OP1,source_dsa,Sierra Donor Services,California,Region  5,0,377,377,55,,,missing,1,"Sierra Donor Services, California (organ procurement)",
TXHI-TX1,transplant_center,CHI St. Luke's Health Baylor College of Medicine Medical Center,Texas,Region  4,374,0,374,39,31.0545,-97.5635,state_centroid,1,"CHI St. Luke's Health Baylor College of Medicine Medical Center, Texas (transplant center hospital)",
NYNS-TX1,transplant_center,North Shore University Hospital/Northwell Health,New York,Region  9,373,0,373,43,,,missing,1,"North Shore University Hospital/Northwell Health, New York (transplant center hospital)",
NEUN-TX1,transplant_center,The Nebraska Medical Center,Nebraska,Region  8,353,0,353,28,41.1254,-98.2681,state_centroid,1,"The Nebraska Medical Center, Nebraska (transplant center hospital)",
FLFH-TX1,transplant_center,AdventHealth Orlando,Florida,Region  3,351,0,351,35,28.5751,-81.3698,facility_or_city,1,"AdventHealth Orlando, Florida (transplant center hospital)",nominatim_batch;review
NYAP-OP1,source_dsa,Center for Donation and Transplant,New York,Region  9,0,346,346,71,,,missing,1,"Center for Donation and Transplant, New York (organ procurement)",
ILUC-TX1,transplant_center,University of Chicago Medical Center,Illinois,Region  7,344,0,344,38,40.3495,-88.9861,state_centroid,1,"University of Chicago Medical Center, Illinois (transplant center hospital)",
