id,type,name,state,total_flow,lat,lon,coordinate_status,geocode_priority,why_still_needs_work,geocode_query
NJSB-TX1,transplant_center,Saint Barnabas Medical Center,New Jersey,295,40.7635,-74.3048,facility_or_city,1,batch_hit_needs_spot_check,"Saint Barnabas Medical Center, New Jersey (transplant center hospital)"
OHUH-TX1,transplant_center,University Hospitals of Cleveland,Ohio,265,41.5061,-81.6051,facility_or_city,1,batch_hit_needs_spot_check,"University Hospitals of Cleveland, Ohio (transplant center hospital)"
NMOP-OP1,source_dsa,New Mexico Donor Services,New Mexico,259,35.1011,-106.6297,facility_or_city,1,batch_hit_needs_spot_check,"New Mexico Donor Services, New Mexico (organ procurement)"
OHUC-TX1,transplant_center,University of Cincinnati  Medical Center,Ohio,259,39.1377,-84.5031,facility_or_city,1,batch_hit_needs_spot_check,"University of Cincinnati  Medical Center, Ohio (transplant center hospital)"
CASM-TX1,transplant_center,University of California Davis Medical Center,California,253,38.5527,-121.4518,facility_or_city,1,batch_hit_needs_spot_check,"University of California Davis Medical Center, California (transplant center hospital)"
FLCC-TX1,transplant_center,Cleveland Clinic Florida Weston,Florida,247,26.0825,-80.3678,facility_or_city,1,batch_hit_needs_spot_check,"Cleveland Clinic Florida Weston, Florida (transplant center hospital)"
NJHK-TX1,transplant_center,Hackensack University Medical Center,New Jersey,246,40.8837,-74.0559,facility_or_city,1,batch_hit_needs_spot_check,"Hackensack University Medical Center, New Jersey (transplant center hospital)"
VAFH-TX1,transplant_center,Inova Fairfax Hospital,Virginia,242,38.8574,-77.2285,facility_or_city,1,batch_hit_needs_spot_check,"Inova Fairfax Hospital, Virginia (transplant center hospital)"
KSUK-TX1,transplant_center,University of Kansas Hospital,Kansas,238,39.0571,-94.6095,facility_or_city,1,batch_hit_needs_spot_check,"University of Kansas Hospital, Kansas (transplant center hospital)"
PATU-TX1,transplant_center,Temple University Hospital,Pennsylvania,230,40.0053,-75.1508,facility_or_city,1,batch_hit_needs_spot_check,"Temple University Hospital, Pennsylvania (transplant center hospital)"
WISE-TX1,transplant_center,Froedtert Memorial Lutheran Hospital,Wisconsin,226,43.0414,-88.0246,facility_or_city,1,batch_hit_needs_spot_check,"Froedtert Memorial Lutheran Hospital, Wisconsin (transplant center hospital)"
TXHD-TX1,transplant_center,Medical City Dallas Hospital,Texas,218,32.9121,-96.7739,facility_or_city,1,batch_hit_needs_spot_check,"Medical City Dallas Hospital, Texas (transplant center hospital)"
WASM-TX1,transplant_center,Swedish Medical Center,Washington,216,47.6087,-122.3227,facility_or_city,1,batch_hit_needs_spot_check,"Swedish Medical Center, Washington (transplant center hospital)"
MABI-TX1,transplant_center,Beth Israel Deaconess Medical Center,Massachusetts,210,42.2475,-71.003,facility_or_city,1,batch_hit_needs_spot_check,"Beth Israel Deaconess Medical Center, Massachusetts (transplant center hospital)"
TNMH-TX1,transplant_center,Methodist University Hospital,Tennessee,210,39.7912,-86.1632,facility_or_city,1,batch_hit_needs_spot_check,"Methodist University Hospital, Tennessee (transplant center hospital)"
TXMC-TX1,transplant_center,Methodist Dallas Medical Center,Texas,202,32.7613,-96.825,facility_or_city,1,batch_hit_needs_spot_check,"Methodist Dallas Medical Center, Texas (transplant center hospital)"
OKBC-TX1,transplant_center,Integris Baptist Medical Center,Oklahoma,201,35.5295,-97.5765,facility_or_city,1,batch_hit_needs_spot_check,"Integris Baptist Medical Center, Oklahoma (transplant center hospital)"
OHCO-TX1,transplant_center,University of Toledo Medical Center,Ohio,189,41.62,-83.617,facility_or_city,2,batch_hit_needs_spot_check,"University of Toledo Medical Center, Ohio (transplant center hospital)"
TNST-TX1,transplant_center,Saint Thomas Hospital,Tennessee,185,36.1297,-86.8446,facility_or_city,2,batch_hit_needs_spot_check,"Saint Thomas Hospital, Tennessee (transplant center hospital)"
PATJ-TX1,transplant_center,Thomas Jefferson University Hospital,Pennsylvania,184,39.9493,-75.158,facility_or_city,2,batch_hit_needs_spot_check,"Thomas Jefferson University Hospital, Pennsylvania (transplant center hospital)"
NCBG-TX1,transplant_center,Wake Forest Baptist Medical Center,North Carolina,182,36.0898,-80.2677,facility_or_city,2,batch_hit_needs_spot_check,"Wake Forest Baptist Medical Center, North Carolina (transplant center hospital)"
LATU-TX1,transplant_center,Tulane Medical Center,Louisiana,177,29.9559,-90.0763,facility_or_city,2,batch_hit_needs_spot_check,"Tulane Medical Center, Louisiana (transplant center hospital)"
FLMR-TX1,transplant_center,Memorial Regional Hospital,Florida,170,26.0196,-80.1799,facility_or_city,2,batch_hit_needs_spot_check,"Memorial Regional Hospital, Florida (transplant center hospital)"
NYWC-TX1,transplant_center,Westchester Medical Center,New York,168,41.0874,-73.8067,facility_or_city,2,batch_hit_needs_spot_check,"Westchester Medical Center, New York (transplant center hospital)"
MSUM-TX1,transplant_center,University of Mississippi Medical Center,Mississippi,167,32.3309,-90.1723,facility_or_city,2,batch_hit_needs_spot_check,"University of Mississippi Medical Center, Mississippi (transplant center hospital)"
AZGS-TX1,transplant_center,Banner-University Medical Center Phoenix,Arizona,165,33.4647,-112.0586,facility_or_city,2,batch_hit_needs_spot_check,"Banner-University Medical Center Phoenix, Arizona (transplant center hospital)"
