,,All Organs,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart,Lung,Heart / Lung,Intestine,VCA - abdominal wall,VCA - head and neck,VCA - other genitourinary organ,VCA - upper limb,VCA - uterus
Membranous Nephropathy,,479,478,0,0,1,0,0,0,0,0,0,0,0,0
Mesangio-Capillary 1. Glomerulonephritis,,34,34,0,0,0,0,0,0,0,0,0,0,0,0
Mesangio-Capillary 2. Glomerulonephritis,,15,15,0,0,0,0,0,0,0,0,0,0,0,0
Metdis: Alpha-1-Antitrypsin Defic A-1-A,,29,0,29,0,0,0,0,0,0,0,0,0,0,0
Metdis: Glyc Stor Dis Type I. (Gsd-I),,4,0,4,0,0,0,0,0,0,0,0,0,0,0
Amyloidosis,,207,207,0,0,0,0,0,0,0,0,0,0,0,0
Metdis: Glyc Stor Dis Type Iv (Gsd-Iv),,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Metdis: Hemochromatosis -. Hemosiderosis,,24,0,24,0,0,0,0,0,0,0,0,0,0,0
"Metdis: Hyperlipidemia-Ii, Homozygous Hypercholes",,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Metdis: Maple Syrup Urine Disease,,15,0,15,0,0,0,0,0,0,0,0,0,0,0
Metdis: Other Specify,,29,0,29,0,0,0,0,0,0,0,0,0,0,0
"Metdis: Primary Oxalosis/Oxaluria, Hyperoxaluria",,3,0,3,0,0,0,0,0,0,0,0,0,0,0
Metdis: Tyrosinemia,,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"Metdis: Wilson'S Disease, Other Copper Metabolism",,12,0,12,0,0,0,0,0,0,0,0,0,0,0
Mixed Connective Tissue Disease,,39,0,0,0,0,0,38,1,0,0,0,0,0,0
Muscular Dystrophy: Other Specify,,6,0,0,0,0,6,0,0,0,0,0,0,0,0
Acquired Obstructive Nephropathy,,564,564,0,0,0,0,0,0,0,0,0,0,0,0
ACUTE ALCOHOLIC HEPATITIS,,3,0,3,0,0,0,0,0,0,0,0,0,0,0
Analgesic Nephropathy,,137,137,0,0,0,0,0,0,0,0,0,0,0,0
Myeloma,,93,93,0,0,0,0,0,0,0,0,0,0,0,0
Neonatal Cholestatic Liver Disease,,3,0,3,0,0,0,0,0,0,0,0,0,0,0
Neonatal Hepatitis Other Specify,,2,0,2,0,0,0,0,0,0,0,0,0,0,0
Nephritis,,298,297,0,0,1,0,0,0,0,0,0,0,0,0
Nephrolithiasis,,248,248,0,0,0,0,0,0,0,0,0,0,0,0
Nephronophthisis,,73,73,0,0,0,0,0,0,0,0,0,0,0,0
Obliterative Bronchiolitis (Non-Retransplant),,8,0,0,0,0,0,8,0,0,0,0,0,0,0
