,,All Organs,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart,Lung,Heart / Lung,Intestine,VCA - other genitourinary organ,VCA - uterus
All VAD,,"49,065","27,574","12,344",107,804,"4,587","3,490",61,88,1,9
No VAD,,"2,490",0,0,0,0,"2,438",0,52,0,0,0
Unknown/NA,,"44,426","27,574","12,344",107,804,5,"3,490",4,88,1,9
VAD used,,"2,149",0,0,0,0,"2,144",0,5,0,0,0
