,,All Organs,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart,Lung,Heart / Lung,Intestine,VCA - abdominal wall,VCA - external male genitalia,VCA - head and neck,VCA - other genitourinary organ,VCA - upper limb,VCA - uterus
To Date,,"1,707,127","1,058,512","367,070","20,565","47,835","127,313","77,534","2,452","5,689",17,3,23,4,27,83
2026,,"26,709","17,164","5,541",136,523,"2,006","1,284",16,34,0,0,0,3,0,2
2025,,"81,642","53,153","16,175",400,"1,688","6,082","3,941",76,114,0,0,1,1,0,11
2024,,"77,063","49,623","15,396",452,"1,666","5,967","3,725",96,128,1,0,0,0,0,9
2023,,"73,010","46,995","14,659",473,"1,585","5,724","3,351",74,134,1,0,5,0,0,9
2022,,"68,458","44,498","13,608",430,"1,488","5,072","3,131",76,147,3,0,0,0,0,5
2021,,"66,195","42,123","13,833",436,"1,488","5,008","3,091",67,142,3,0,0,0,0,4
2020,,"60,086","37,804","13,019",452,"1,314","4,594","2,675",80,144,1,0,0,0,2,1
2019,,"66,819","43,239","13,448",500,"1,479","4,717","3,248",65,103,1,0,4,0,3,12
2018,,"63,646","40,572","13,147",488,"1,294","4,711","3,204",67,139,3,0,3,0,3,15
2017,,"59,683","37,216","12,947",508,"1,257","4,536","3,000",47,161,0,0,2,0,1,8
2016,,"58,903","36,963","12,733",499,"1,234","4,418","2,789",46,203,0,3,4,0,4,7
2015,,"57,632","36,611","11,999",484,"1,264","4,432","2,588",46,200,2,0,0,0,6,0
2014,,"58,862","37,782","11,958",569,"1,303","4,334","2,639",55,211,2,0,3,0,6,0
2013,,"58,683","38,077","12,020",575,"1,269","3,985","2,530",46,180,0,0,1,0,0,0
2012,,"56,318","36,459","11,609",591,"1,447","3,660","2,346",46,158,0,0,0,0,2,0
2011,,"55,059","35,021","11,920",619,"1,349","3,447","2,463",56,184,0,0,0,0,0,0
2010,,"56,414","35,836","12,005",732,"1,549","3,526","2,469",57,240,0,0,0,0,0,0
2009,,"54,849","35,110","11,254",798,"1,569","3,515","2,279",64,260,0,0,0,0,0,0
2008,,"53,402","34,039","11,174",880,"1,603","3,383","2,003",53,267,0,0,0,0,0,0
2007,,"52,807","33,824","11,080",884,"1,618","3,111","1,959",50,281,0,0,0,0,0,0
2006,,"51,568","32,597","11,036","1,061","1,669","3,037","1,774",77,317,0,0,0,0,0,0
2005,,"48,943","30,373","10,988","1,058","1,786","2,834","1,562",58,284,0,0,0,0,0,0
2004,,"47,040","28,315","10,638","1,150","1,729","2,882","1,999",78,249,0,0,0,0,0,0
2003,,"43,498","25,544","10,048","1,095","1,644","2,939","1,954",69,205,0,0,0,0,0,0
2002,,"42,100","24,561","9,323","1,088","1,738","3,212","1,886",88,204,0,0,0,0,0,0
2001,,"42,828","23,424","10,740","1,129","1,783","3,391","2,035",107,219,0,0,0,0,0,0
2000,,"42,844","23,416","10,743",980,"1,996","3,448","1,976",115,170,0,0,0,0,0,0
1999,,"40,803","21,933","10,507",732,"1,801","3,537","2,035",109,149,0,0,0,0,0,0
1998,,"38,494","20,659","9,527",474,"1,532","3,935","2,081",137,149,0,0,0,0,0,0
1997,,"35,604","19,248","8,618",358,"1,409","3,753","1,945",140,133,0,0,0,0,0,0
1996,,"34,070","18,406","8,051",295,"1,377","3,875","1,825",153,88,0,0,0,0,0,0
1995,,"33,095","17,927","7,326",239,"1,384","4,242","1,747",138,92,0,0,0,0,0,0
