,,All Organs,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart,Lung,Heart / Lung,Intestine,VCA - other genitourinary organ,VCA - uterus
All KDPI,,"49,065","27,574","12,344",107,804,"4,587","3,490",61,88,1,9
0-20,,"11,238","4,606","2,498",71,608,"2,115","1,263",29,47,0,1
21-34,,"6,833","3,457","1,532",23,128,"1,078",580,13,22,0,0
35-85,,"19,528","11,215","5,460",13,68,"1,369","1,366",17,19,1,0
86-100,,"4,226","1,774","2,145",0,0,24,281,2,0,0,0
Unknown,,"7,240","6,522",709,0,0,1,0,0,0,0,8
