,,All Organs,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart,Lung,Heart / Lung,Intestine,VCA - other genitourinary organ,VCA - uterus
All Zones,,"49,065","27,574","12,344",107,804,"4,587","3,490",61,88,1,9
"0 to 150 Nautical Miles, ALL organs",,"26,301","16,762","7,172",44,448,"1,163",666,17,19,1,9
"151 to 200 Nautical Miles, ALL organs",,"4,685","3,074",896,7,119,420,162,4,3,0,0
"201 to 250 Nautical Miles, ALL organs",,"4,126","2,627",833,15,91,368,177,5,10,0,0
"251 to 500 Nautical Miles, ALL organs",,"7,044","1,483","2,777",21,70,"1,877",763,25,28,0,0
"500+ Nautical Miles, ALL organs",,"6,909","3,628",666,20,76,759,"1,722",10,28,0,0
