,,,All Organs,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart,Lung,Heart / Lung,Intestine,VCA - other genitourinary organ,VCA - uterus
,Metdis: Alpha-1-Antitrypsin Defic A-1-A,,87,0,87,0,0,0,0,0,0,0,0
,Metdis: Glyc Stor Dis Type I. (Gsd-I),,2,0,2,0,0,0,0,0,0,0,0
,Amyloidosis,,70,70,0,0,0,0,0,0,0,0,0
,Metdis: Glyc Stor Dis Type Iv (Gsd-Iv),,1,0,1,0,0,0,0,0,0,0,0
,Metdis: Hemochromatosis -. Hemosiderosis,,31,0,31,0,0,0,0,0,0,0,0
,Metdis: Maple Syrup Urine Disease,,34,0,34,0,0,0,0,0,0,0,0
,Metdis: Other Specify,,45,0,45,0,0,0,0,0,0,0,0
,"Metdis: Primary Oxalosis/Oxaluria, Hyperoxaluria",,7,0,7,0,0,0,0,0,0,0,0
,
,Metdis: Tyrosinemia,,1,0,1,0,0,0,0,0,0,0,0
,"Metdis: Wilson'S Disease, Other Copper Metabolism",,30,0,30,0,0,0,0,0,0,0,0
,Mixed Connective Tissue Disease,,98,0,0,0,0,0,97,1,0,0,0
,Muscular Dystrophy: Other Specify,,5,0,0,0,0,5,0,0,0,0,0
,Acquired Obstructive Nephropathy,,108,108,0,0,0,0,0,0,0,0,0
,Analgesic Nephropathy,,36,35,0,0,1,0,0,0,0,0,0
,Myeloma,,44,44,0,0,0,0,0,0,0,0,0
,Neonatal Cholestatic Liver Disease,,5,0,5,0,0,0,0,0,0,0,0
,Neonatal Hepatitis Other Specify,,1,0,1,0,0,0,0,0,0,0,0
,Nephritis,,107,106,0,0,1,0,0,0,0,0,0
,Nephrolithiasis,,63,63,0,0,0,0,0,0,0,0,0
,Nephronophthisis,,48,48,0,0,0,0,0,0,0,0,0
,Obliterative Bronchiolitis (Non-Retransplant),,31,0,0,0,0,0,31,0,0,0,0
,Obstructive Lung Disease,,1,0,0,0,0,0,1,0,0,0,0
,Occupational Lung Disease Other Specify,,11,0,0,0,0,0,11,0,0,0,0
,Other Cancers,,1,0,0,1,0,0,0,0,0,0,0
,Anti-Gbm,,24,24,0,0,0,0,0,0,0,0,0
,Oxalate Nephropathy (Includes Hereditary Oxalosis,,30,30,0,0,0,0,0,0,0,0,0
,Plm: Cholangiocarcinoma (Ch-Ca),,75,0,75,0,0,0,0,0,0,0,0
,Plm: Fibrolamellar (Fl-Hc),,2,0,2,0,0,0,0,0,0,0,0
,"Plm: Hemangioendothelioma, Hemangiosarcoma, Angio",,14,0,14,0,0,0,0,0,0,0,0
,Plm: Hepatoblastoma (Hbl),,35,0,35,0,0,0,0,0,0,0,0
,Plm: Hepatoma (Hcc) And Cirrhosis,,963,0,963,0,0,0,0,0,0,0,0
,Plm: Hepatoma -. Hepatocellular Carcinoma,,557,0,557,0,0,0,0,0,0,0,0
,Antibiotic-Induced Nephritis,,6,6,0,0,0,0,0,0,0,0,0
,"Plm: Other Specify (I.E., Klatzkin Tumor, Leiomys",,19,0,19,0,0,0,0,0,0,0,0
,Polyarteritis,,3,3,0,0,0,0,0,0,0,0,0
,Polycystic Kidneys,,"1,964","1,963",0,0,1,0,0,0,0,0,0
,Polymyositis,,18,0,0,0,0,0,18,0,0,0,0
,Pre-Bmtransplantation Total Body Irradiation,,1,1,0,0,0,0,0,0,0,0,0
,Primary Biliary Cirrhosis (Pbc),,261,0,261,0,0,0,0,0,0,0,0
,Primary Ciliary Dyskinesia,,4,0,0,0,0,0,4,0,0,0,0
,Prune Belly Syndrome,,18,18,0,0,0,0,0,0,0,0,0
,Ards/Pneumonia,,31,0,0,0,0,0,30,1,0,0,0
