,,All Donors,Kidney,Liver,Heart,Pancreas,Lung,Intestine
All Donor Types,,"23,791","21,797","13,824","4,753","1,260","3,977",88
Deceased Donor,,"16,553","15,274","13,117","4,753","1,260","3,977",88
Living Donor,,"7,238","6,523",707,0,0,0,0
