,,All Donors,Kidney,Liver,Heart,Pancreas,Lung,Intestine
All Circumstances,,"23,791","21,797","13,824","4,753","1,260","3,977",88
Child Abuse,,39,36,25,29,4,1,4
Homicide,,329,321,299,219,84,148,6
MVA,,"1,526","1,498","1,315",848,267,492,15
Natural Causes (Since 10/25/99),,"9,693","8,656","7,409","1,494",310,"1,759",30
Non MVA,,"2,344","2,248","1,880","1,002",238,676,14
None of the above,,"1,550","1,456","1,238",496,103,370,2
Not Reported,,"7,238","6,523",707,0,0,0,0
Suicide,,"1,072","1,059",951,665,254,531,17
