,,All Donor Types,Deceased Donor
All Multiple Organ,,"1,436","1,436"
Liver-Pancreas,,1,1
Kidney-Intestine,,3,3
Intestine-Pancreas,,6,6
Liver-Intestine,,1,1
VCA-Kidney,,1,1
Liver-Intestine-Pancreas,,37,37
Liver-Kidney-Intestine-Pancreas,,5,5
Kidney-Heart,,361,361
Liver-Heart,,92,92
Liver-Kidney-Heart,,9,9
Kidney-Lung,,16,16
Liver-Lung,,39,39
Liver-Kidney,,864,864
Kidney-Heart-Lung,,1,1
