,,All Organs,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart,Lung,Heart / Lung,Intestine,VCA - other genitourinary organ,VCA - uterus
ILMM-TX1 Springfield Memorial Hospital,,21,21,0,0,0,0,0,0,0,0,0
ILNM-TX1 Northwestern Memorial Hospital,,691,333,178,4,17,28,129,2,0,0,0
ILPL-TX1 Rush University Medical Center,,185,120,62,0,3,0,0,0,0,0,0
ILSF-TX1 OSF Saint Francis Medical Center,,59,52,0,0,1,6,0,0,0,0,0
ILUC-TX1 University of Chicago Medical Center,,387,197,88,2,13,59,24,4,0,0,0
ILUI-TX1 University of Illinois Medical Center,,314,239,48,1,22,0,0,0,4,0,0
ILVA-TX1 Edward Hines Jr. Veterans Administration Medical Center,,108,108,0,0,0,0,0,0,0,0,0
INIM-TX1 Indiana University Health,,485,189,193,8,19,24,46,0,6,0,0
INSV-TX1 Ascension St. Vincent Hospital,,99,69,0,0,0,30,0,0,0,0,0
KSUK-TX1 University of Kansas Hospital,,278,169,60,0,4,45,0,0,0,0,0
KYJH-TX1 Jewish Hospital,,142,89,11,1,4,16,21,0,0,0,0
KYKC-TX1 Norton Children's Hospital,,12,6,0,0,0,6,0,0,0,0,0
KYUK-TX1 University of Kentucky Medical Center,,234,119,80,0,1,20,14,0,0,0,0
LACH-TX1 Children's Hospital,,12,12,0,0,0,0,0,0,0,0,0
LAOF-TX1 Ochsner Foundation Hospital,,388,197,142,0,11,24,14,0,0,0,0
LATU-TX1 Tulane Medical Center,,202,150,35,1,5,11,0,0,0,0,0
LAWK-TX1 Willis-Knighton Medical Center,,92,71,12,0,9,0,0,0,0,0,0
MABI-TX1 Beth Israel Deaconess Medical Center,,244,80,121,4,7,32,0,0,0,0,0
MABS-TX1 Baystate Medical Center,,33,33,0,0,0,0,0,0,0,0,0
MABU-TX1 Boston Medical Center,,29,29,0,0,0,0,0,0,0,0,0
MACH-TX1 Boston Children's Hospital,,55,25,14,0,0,14,2,0,0,0,0
MALC-TX1 Lahey Clinic Medical Center,,171,64,107,0,0,0,0,0,0,0,0
MAMG-TX1 Massachusetts General Hospital,,589,238,210,0,0,57,84,0,0,0,0
MANM-TX1 Tufts Medical Center,,178,68,47,0,0,63,0,0,0,0,0
MAPB-TX1 Brigham and Women's Hospital,,167,71,0,0,0,40,56,0,0,0,0
MAUM-TX1 UMass Memorial Medical Center,,165,102,63,0,0,0,0,0,0,0,0
MDJH-TX1 Johns Hopkins Hospital,,463,225,127,0,3,76,32,0,0,0,0
MDUM-TX1 University of Maryland Medical System,,249,126,84,1,10,13,15,0,0,0,0
MEMC-TX1 Maine Medical Center,,34,34,0,0,0,0,0,0,0,0,0
MIBH-TX1 Corewell Health William Beaumont University Hospital,,133,88,45,0,0,0,0,0,0,0,0
MICH-TX1 Children's Hospital of Michigan,,14,6,6,0,0,2,0,0,0,0,0
MIDV-TX1 Corewell Health Helen DeVos Children's Hospital,,7,7,0,0,0,0,0,0,0,0,0
MIHF-TX1 Henry Ford Hospital,,366,144,175,2,1,19,20,1,4,0,0
MISH-TX1 Corewell Health Grand Rapids Hospitals,,104,0,0,0,0,42,62,0,0,0,0
MISJ-TX1 Ascension St. John Hospital,,29,29,0,0,0,0,0,0,0,0,0
MISM-TX1 Mercy Health Saint Mary's,,109,109,0,0,0,0,0,0,0,0,0
MIUM-TX1 University of Michigan Medical Center,,488,273,140,2,8,38,27,0,0,0,0
MNAN-TX1 Abbott Northwestern Hospital,,28,12,0,0,0,16,0,0,0,0,0
MNCM-TX1 Children's Minnesota,,1,0,0,0,0,1,0,0,0,0,0
MNHC-TX1 Hennepin County Medical Center,,49,49,0,0,0,0,0,0,0,0,0
MNMC-TX1 Mayo Clinic Hospital Minnesota,,604,309,163,3,10,56,60,3,0,0,0
"MNUM-TX1 University of Minnesota Medical Center, Fairview",,452,208,134,3,17,31,59,0,0,0,0
MOBH-TX1 Barnes-Jewish Hospital,,606,329,148,2,3,57,67,0,0,0,0
MOCG-TX1 Cardinal Glennon Children's Hospital,,9,7,0,0,0,2,0,0,0,0,0
MOCH-TX1 St. Louis Children's Hospital at Washington University Medical Center,,54,9,23,0,0,18,4,0,0,0,0
MOCM-TX1 Children's Mercy Hospital,,22,7,9,0,0,6,0,0,0,0,0
MOLH-TX1 St Luke's Hospital of Kansas City,,126,70,24,0,0,32,0,0,0,0,0
MORH-TX1 Research Medical Center,,77,75,0,0,2,0,0,0,0,0,0
MOSL-TX1 SSM Health Saint Louis University Hospital,,119,82,37,0,0,0,0,0,0,0,0
MOUM-TX1 University of Missouri Hospital and Clinics,,15,15,0,0,0,0,0,0,0,0,0
MSUM-TX1 University of Mississippi Medical Center,,185,135,37,0,5,8,0,0,0,0,0
NCBG-TX1 Wake Forest Baptist Medical Center,,211,173,0,1,8,29,0,0,0,0,0
NCCM-TX1 Carolinas Medical Center,,354,141,135,0,1,77,0,0,0,0,0
NCDU-TX1 Duke University Hospital,,699,236,200,2,13,136,104,5,3,0,0
NCEC-TX1 ECU Health Medical Center,,105,101,0,0,4,0,0,0,0,0,0
NCMH-TX1 University of North Carolina Hospitals,,279,199,50,0,1,17,12,0,0,0,0
NDMC-TX1 Sanford Bismarck Medical Center,,10,10,0,0,0,0,0,0,0,0,0
NDSL-TX1 Sanford Medical Center Fargo,,35,35,0,0,0,0,0,0,0,0,0
NECH-TX1 Children’s Nebraska,,3,0,0,0,0,3,0,0,0,0,0
NEUN-TX1 The Nebraska Medical Center,,416,184,166,6,2,40,11,0,7,0,0
NHDH-TX1 Mary Hitchcock Memorial Hospital,,26,26,0,0,0,0,0,0,0,0,0
NJBI-TX1 Newark Beth Israel Medical Center,,39,2,0,0,0,18,19,0,0,0,0
NJHK-TX1 Hackensack University Medical Center,,304,296,0,2,6,0,0,0,0,0,0
NJLL-TX1 Virtua Our Lady of Lourdes Hospital,,139,101,34,0,4,0,0,0,0,0,0
NJRW-TX1 Robert Wood Johnson University Hospital,,115,85,0,0,16,14,0,0,0,0,0
NJSB-TX1 Saint Barnabas Medical Center,,374,370,0,0,4,0,0,0,0,0,0
NJUH-TX1 University Hospital,,38,0,38,0,0,0,0,0,0,0,0
"NMAQ-TX1 University Hospital, University of New Mexico Health Sciences Center",,29,29,0,0,0,0,0,0,0,0,0
NMPH-TX1 Presbyterian Hospital,,36,33,0,0,3,0,0,0,0,0,0
NVRR-TX1 Renown Regional Medical Center,,3,3,0,0,0,0,0,0,0,0,0
NVUM-TX1 University Medical Center of Southern Nevada,,185,179,0,0,6,0,0,0,0,0,0
NYAM-TX1 Albany Medical Center Hospital,,39,39,0,0,0,0,0,0,0,0,0
NYCC-TX1 Long Island Jewish Medical Center-Cohen Children's Medical Center,,17,15,0,0,0,2,0,0,0,0,0
NYCP-TX1 NY Presbyterian Hospital/Columbia Univ. Medical Center,,565,218,148,2,5,83,101,4,4,0,0
"NYDS-TX1 State University of New York, Downstate Medical Center",,36,36,0,0,0,0,0,0,0,0,0
NYEC-TX1 Erie County Medical Center,,116,111,0,0,5,0,0,0,0,0,0
"NYFL-TX1 Strong Memorial Hospital, University of Rochester Medical Center",,237,128,88,0,1,20,0,0,0,0,0
NYMA-TX1 Montefiore Medical Center,,327,220,46,0,5,30,26,0,0,0,0
NYMS-TX1 Mount Sinai Medical Center,,578,282,173,6,7,78,24,0,8,0,0
NYNS-TX1 North Shore University Hospital/Northwell Health,,426,211,151,0,0,36,27,1,0,0,0
NYNY-TX1 New York-Presbyterian Hospital/Weill Cornell Medical Center,,355,243,88,0,4,20,0,0,0,0,0
NYSB-TX1 University Hospital of State University of New York at Stony Brook,,61,61,0,0,0,0,0,0,0,0,0
NYUC-TX1 NYU Langone Health,,586,312,123,1,2,72,74,2,0,0,0
NYUM-TX1 State University of New York Upstate Medical University,,67,65,0,0,2,0,0,0,0,0,0
NYVA-TX1 James J. Peters VA Medical Center,,16,16,0,0,0,0,0,0,0,0,0
NYWC-TX1 Westchester Medical Center,,183,80,86,0,0,17,0,0,0,0,0
OHCC-TX1 The Cleveland Clinic Foundation,,902,358,290,1,5,91,143,3,11,0,0
OHCH-TX1 Nationwide Children's Hospital,,38,16,11,0,0,11,0,0,0,0,0
OHCM-TX1 Children's Hospital Medical Center,,71,32,21,1,1,11,2,0,3,0,0
OHCO-TX1 University of Toledo Medical Center,,195,193,0,0,2,0,0,0,0,0,0
OHOU-TX1 Ohio State University Medical Center,,617,325,172,1,10,34,75,0,0,0,0
OHTC-TX1 The Christ Hospital,,78,61,0,0,0,17,0,0,0,0,0
OHUC-TX1 University of Cincinnati  Medical Center,,287,124,145,0,12,6,0,0,0,0,0
OHUH-TX1 University Hospitals of Cleveland,,284,178,74,0,6,14,12,0,0,0,0
OKBC-TX1 Integris Baptist Medical Center,,224,91,89,0,5,17,22,0,0,0,0
OKCM-TX1 Children's Hospital of Oklahoma,,2,0,0,0,0,2,0,0,0,0,0
OKMD-TX1 OU Medical Center,,77,47,30,0,0,0,0,0,0,0,0
OKSJ-TX1 St John Medical Center,,49,49,0,0,0,0,0,0,0,0,0
ORGS-TX1 Legacy Good Samaritan Hospital and Medical Center,,96,96,0,0,0,0,0,0,0,0,0
ORSV-TX1 Providence St. Vincent Medical Center,,13,0,0,0,0,13,0,0,0,0,0
ORUO-TX1 Oregon Health and Science University,,242,132,92,0,5,13,0,0,0,0,0
