,,All Donors,Kidney,Liver,Heart,Pancreas,Lung,Intestine
All Causes,,"23,791","21,797","13,824","4,753","1,260","3,977",88
Not Reported,,"7,238","6,523",707,0,0,0,0
ANOXIA,,"7,848","7,163","6,213","2,181",525,"1,516",30
CEREBRO VASCULAR / STROKE,,"4,519","4,076","3,654",736,149,"1,183",14
HEAD TRAUMA,,"3,166","3,074","2,663","1,666",546,"1,159",41
CNS TUMOR,,48,46,43,24,7,21,1
OTHER SPECIFY,,972,915,544,146,33,98,2
